ngram,Hop,Hopr,Hopd,Hopx,Hozp,Hopn
1971,6.339251236957872e-07,5.224374663040773e-10,1.153046150622775e-10,1.1601116297769006e-10,1.7795579494122345e-11,1.782366040473501e-10
1972,6.45137894090502e-07,5.130242024848591e-10,8.00442886575833e-11,1.1589152653408113e-10,2.6491024651686956e-11,2.1265947534678175e-10
1973,6.707761274680836e-07,4.591878246687894e-10,1.0426760447109932e-10,1.1589152653408113e-10,2.6491024651686956e-11,2.1158152610897422e-10
1974,6.777386098682265e-07,4.4546291457146584e-10,1.0357042852317453e-10,9.750499267118557e-11,2.5793848703762177e-11,2.2787653212809544e-10
1975,6.978621464830732e-07,3.554034209786648e-10,1.0282338720547988e-10,9.750499267118557e-11,3.390334887831692e-11,2.4260144984181563e-10
1976,7.204779909183603e-07,3.0769762928071845e-10,1.0188293264601356e-10,6.963388100260965e-11,3.390334887831692e-11,1.5898811929680535e-10
1977,7.633953730744127e-07,3.0829305774915383e-10,1.0113983460259744e-10,8.568670277288502e-11,3.390334887831692e-11,1.7429784302366461e-10
1978,8.051954897122673e-07,2.864363944445257e-10,1.142958029807874e-10,4.0932201080970796e-11,2.4952448341679964e-11,1.7429784302366461e-10
1979,8.297077930105193e-07,2.754699722297614e-10,1.4680660655384615e-10,4.036445681667087e-11,3.2512404970644735e-11,1.21557427813977e-10
1980,8.251988024962234e-07,2.9030908827681097e-10,1.373007025533874e-10,5.6038111651002254e-11,4.0349232387810425e-11,1.1288606160952952e-10
1981,8.220622070049493e-07,2.637957610288463e-10,1.3678299812247552e-10,4.789060864144165e-11,3.2201729378249815e-11,1.0422085416905702e-10
1982,7.851575105632946e-07,4.0321814934582024e-10,1.3608499297672923e-10,8.494808477675444e-11,2.4092229203695073e-11,7.91943484996465e-11
1983,7.712227605744764e-07,3.9391386680298623e-10,1.3545106752491495e-10,7.691165363318423e-11,3.1494734895451006e-11,6.248756026505653e-11
1984,7.235031651881789e-07,3.8647987687141187e-10,1.3477524998806167e-10,6.820942521119327e-11,4.6195921592019824e-11,5.310951430621229e-11
1985,6.76428133569321e-07,3.529143103745255e-10,8.58156794633239e-11,8.267757510362271e-11,4.6195921592019824e-11,8.927989052419174e-11
1986,6.365269363024189e-07,3.4803772711033965e-10,6.021343096748336e-11,8.145842928757624e-11,2.994051980549044e-11,1.0878640993979997e-10
1987,5.989009131163974e-07,3.3675281957809157e-10,4.3390415268732394e-11,6.578477445324487e-11,2.8791159932341414e-11,1.3438691875581173e-10
1988,5.80375919006266e-07,3.4089067233693855e-10,4.269202650128026e-11,6.578477445324487e-11,3.5722569743538e-11,1.4755134961075278e-10
