ngram,Qi,Qip,Qit,Qia,Qik,Qei,Qui
1881,1.0096307180772004e-07,6.068106771030455e-10,2.1775243988894235e-09,1.605968992711228e-09,4.325904912061418e-10,4.665027015476092e-10,1.245405217429964e-06
1882,1.1591780183347769e-07,6.238093494140681e-10,2.245519088133514e-09,1.8174251310248174e-09,4.2488503984979987e-10,3.9556587370727566e-10,1.2198767730556677e-06
1883,1.211395255852819e-07,6.175999929723477e-10,2.087057637822909e-09,1.9469914886676473e-09,2.715571022017725e-10,4.276885016775621e-10,1.2165693468497402e-06
1884,1.0497028922275473e-07,6.481109002650801e-10,2.1563865296566777e-09,1.8371212487774562e-09,2.9318647509768425e-10,4.887103162630271e-10,1.1748117978121236e-06
1885,1.0803733983623585e-07,4.957073838708834e-10,2.2361692339093307e-09,1.7500013184599895e-09,2.5690111546009374e-10,5.322327083025411e-10,1.1369852148033845e-06
1886,1.0713102532073598e-07,3.4140174021146663e-10,2.3577497573360316e-09,1.7888159842271989e-09,2.422507194843604e-10,6.425871719649225e-10,1.1079918717119393e-06
1887,1.0717442527103621e-07,3.308963103521023e-10,2.0973970655495985e-09,1.8402016101402653e-09,3.5278659358896544e-10,5.715610921061146e-10,1.0346948491652647e-06
1888,1.2269883598037268e-07,2.993307149764693e-10,2.1057752208619718e-09,1.8577052594638742e-09,4.2466960900203587e-10,6.118785081784698e-10,1.0211571829391427e-06
1889,1.2098168359183807e-07,2.544437716078818e-10,1.8477147589734955e-09,1.723044437288276e-09,3.9226003001324727e-10,5.084110870396635e-10,9.990451092432653e-07
1890,1.2665015905862935e-07,2.982082180397987e-10,1.9264046548426806e-09,2.0089147488379565e-09,4.428514103046613e-10,5.268798393607912e-10,9.699975862531574e-07
1891,1.332856050290892e-07,3.189074143650217e-10,2.066393183548192e-09,2.0927873085290524e-09,4.53738899627457e-10,5.426731821848005e-10,9.614707810864535e-07
1892,1.3482344992813262e-07,3.5729888492319617e-10,2.1197858389245182e-09,2.2941128362065554e-09,4.53738899627457e-10,4.939948192569535e-10,9.456415536338422e-07
1893,1.3419548037875627e-07,3.021216530920055e-10,2.134647538097413e-09,2.6454188363698806e-09,3.9856166779626637e-10,4.297637027996158e-10,9.288462154342727e-07
1894,1.3322620974674594e-07,3.573125803172214e-10,2.178600062257325e-09,2.595539069386429e-09,3.1011756654716495e-10,4.904968256954792e-10,9.139351553650548e-07
1895,1.1645451130399514e-07,3.784837879613637e-10,2.023935622271925e-09,2.473709110566753e-09,1.9627456802697096e-10,5.248522806842817e-10,8.894908124342951e-07
1896,1.0219820926035286e-07,3.455224241642542e-10,1.970602855497613e-09,2.491107574188943e-09,2.1565499386255738e-10,5.180618117035201e-10,8.80656460010089e-07
1897,8.97564070052275e-08,3.439423706159366e-10,2.2615107247198854e-09,2.1998158215654128e-09,2.579473936035827e-10,5.603542114445454e-10,8.569281086628118e-07
1898,7.982362555074879e-08,3.468467735245895e-10,2.1480074544452268e-09,1.8954596146615798e-09,2.0964169289428014e-10,5.376535605616795e-10,8.305805506227313e-07
1899,7.951171657591008e-08,3.158598382846378e-10,2.124827805768551e-09,1.782393645375992e-09,2.642834126146251e-10,5.248805318951761e-10,8.077513971979247e-07
1900,8.130838377188151e-08,3.158598382846378e-10,1.923467543970706e-09,1.3273549402472084e-09,2.823540171511699e-10,5.510396028363118e-10,8.003213208342328e-07
1901,8.915972062238455e-08,2.3967434782866196e-10,1.7706843134592175e-09,1.3170325465137823e-09,2.9453561811720874e-10,5.312192590573822e-10,7.938204151157282e-07
1902,1.0399561237558633e-07,2.357214304701419e-10,1.721842684305435e-09,1.3582352861466314e-09,3.59455861901178e-10,4.823776299035996e-10,8.056968649075966e-07
1903,1.2921484783743965e-07,2.163410046345555e-10,1.8355907111760367e-09,1.3113246044582638e-09,3.560145809108509e-10,4.948754937585318e-10,7.788012713457906e-07
1904,1.3441261208819405e-07,1.7374146367630872e-10,1.4155256807971535e-09,1.1699108983163698e-09,3.106920217131405e-10,5.288216333086484e-10,7.73080590274081e-07
1905,1.4188033605120965e-07,1.80614406367471e-10,1.3279155077126704e-09,1.2377712902253028e-09,3.175649644043028e-10,6.119288845482121e-10,7.561999382232898e-07
1906,1.3610005465482443e-07,1.5970157934181676e-10,1.0675229747799823e-09,1.117013632383796e-09,3.715281475326547e-10,5.728021509491096e-10,7.41709243357036e-07
1907,1.3546667990535104e-07,2.183022750663304e-10,1.1573609213856783e-09,1.1482508832649785e-09,3.8275789085836665e-10,5.298200806651871e-10,7.102525663477926e-07
1908,1.3321252570871627e-07,1.8402890124478788e-10,1.140450813151363e-09,1.110716320505491e-09,4.171067836360771e-10,6.122423322287216e-10,6.777099851465859e-07
1909,1.2099741805319093e-07,2.0815363916642278e-10,1.1715138859003105e-09,1.0729062321119492e-09,3.7235836041522267e-10,5.330573284366227e-10,6.370643827072595e-07
1910,9.999973420755331e-08,2.3570141870012304e-10,1.2419480681964095e-09,1.234644743584669e-09,4.252886653954846e-10,5.700484885716252e-10,6.167512895314888e-07
1911,1.0492542961466305e-07,2.459277365085555e-10,1.3191597021083063e-09,1.2978784475719302e-09,4.19661242264827e-10,4.571965008962461e-10,5.849595449295261e-07
1912,1.0272596893758288e-07,2.137685028991143e-10,1.2659243256837475e-09,1.3921151691726713e-09,3.875020086553858e-10,4.785299279846151e-10,5.580906190516544e-07
1913,1.0918116950214036e-07,2.268493547769828e-10,1.4922568974158018e-09,1.507408689934867e-09,3.3608878180491075e-10,6.059941259113038e-10,5.299966687744018e-07
1914,1.1578892968243184e-07,2.120981267601201e-10,1.5209509286938173e-09,1.7408683066528446e-09,4.091038599155336e-10,6.059267571816613e-10,5.005582132915671e-07
1915,1.1375077134191867e-07,2.439755718881236e-10,1.5382262210015897e-09,1.765225251685162e-09,4.0423648357228766e-10,4.708964805390434e-10,4.870565898532472e-07
1916,1.123839347932127e-07,2.929437149206444e-10,1.6425167813162643e-09,1.8394120829664677e-09,4.2310090550160394e-10,4.5965717740007305e-10,4.6627257331368e-07
1917,1.1438656802705996e-07,5.586763512128406e-10,1.6740932846331142e-09,1.8853380444129796e-09,3.821629243220112e-10,4.606164021631847e-10,4.521267880720968e-07
