ngram,honey,hoey,hony
1949,1.0483026926522143e-05,3.800639009859148e-10,2.3490699671161304e-08
1950,1.0168597717503352e-05,4.2175712525579657e-10,2.507376071849064e-08
1951,1.0259276158259517e-05,4.12068228745304e-10,2.6160293994540292e-08
1952,1.0172695121062653e-05,4.123248171466238e-10,2.7268183901339527e-08
1953,9.786766245919612e-06,5.030247726292966e-10,2.8897007707330757e-08
1954,9.298783879785333e-06,4.844267764703147e-10,2.9539178722107603e-08
1955,9.118351694529078e-06,6.267635418602932e-10,3.120715064142132e-08
1956,8.77745346120459e-06,6.430850851835146e-10,3.036347605091448e-08
1957,8.427904633988095e-06,7.11409915104306e-10,2.917613147904571e-08
1958,7.956067033124522e-06,6.8091894424503e-10,3.108213927508327e-08
1959,7.6078944013196244e-06,6.09403129149731e-10,3.1400731919412854e-08
1960,7.429063381485841e-06,5.68977228427541e-10,3.216788511752254e-08
1961,7.323125503587237e-06,6.557613916166208e-10,3.263164468795107e-08
1962,7.081487248277492e-06,6.595527239440711e-10,3.467401756194834e-08
1963,6.806958936067531e-06,7.803859641830613e-10,3.7005421457284426e-08
1964,6.712091167823278e-06,7.263876662864734e-10,4.144428622510077e-08
1965,6.503309707893225e-06,8.229084655761046e-10,4.0407388673153425e-08
1966,6.3676693571323995e-06,9.146305141831996e-10,4.144268217487479e-08
1967,6.119218271903394e-06,8.423874375829143e-10,4.038225246258012e-08
1968,5.94486943685167e-06,8.119396504342141e-10,4.0342783843730756e-08
1969,5.7890494775035354e-06,9.629025434141981e-10,3.693189474875323e-08
1970,5.772596848276278e-06,9.150414156547778e-10,3.312733604892466e-08
1971,5.671684513280135e-06,8.608695105977964e-10,2.8337850669199075e-08
1972,5.659969182098783e-06,9.63420311782061e-10,2.722337123982145e-08
1973,5.65478382798444e-06,9.646677425122009e-10,2.5960836528124024e-08
1974,5.732478582233723e-06,1.148574433975012e-09,2.4602655658765926e-08
1975,5.915250702465917e-06,1.1750361001665916e-09,2.209504934569395e-08
1976,5.949674102469414e-06,9.653187138525254e-10,2.1530525172254655e-08
1977,5.962679876704767e-06,9.13297088749638e-10,2.060692568964636e-08
1978,5.930767136825514e-06,9.664617281071993e-10,2.1373265062558337e-08
1979,5.919216359221277e-06,8.048340168923371e-10,2.0000161653805596e-08
1980,5.904492094746924e-06,8.146658982331547e-10,1.825286169828847e-08
1981,5.961252489734241e-06,7.162423907937563e-10,1.7394930067788598e-08
1982,5.947600194693743e-06,7.671582972054328e-10,1.7564910922577122e-08
1983,6.015277189622534e-06,8.477473405805419e-10,1.6902260924211987e-08
1984,6.1876787315538555e-06,8.182615696128437e-10,1.632607052722993e-08
1985,6.32536401618771e-06,7.637468792319271e-10,1.4542949320985242e-08
1986,6.459302052722446e-06,9.11671329698446e-10,1.4793692112594466e-08
1987,6.561797168355302e-06,8.999690397677134e-10,1.4545327609027936e-08
1988,6.566316772347948e-06,1.0613816849223768e-09,1.5862170370845822e-08
1989,6.657297360236823e-06,1.0994081082024314e-09,1.4845433327081992e-08
1990,6.76838752562097e-06,1.0940969439955849e-09,1.4889107597631274e-08
1991,6.809457058157672e-06,1.1206926854777167e-09,1.500111336736966e-08
1992,6.940159437363036e-06,1.7580592933822255e-09,1.4938401626807263e-08
1993,7.041997443073862e-06,1.9299084631972464e-09,1.4618053815037716e-08
1994,7.099862354412575e-06,1.9072653297972207e-09,1.4590188359063307e-08
1995,7.209624007893061e-06,1.7183402082184988e-09,1.3190103993159547e-08
1996,7.387476281499923e-06,1.5888022326342772e-09,1.4846873318065588e-08
1997,7.574366268922209e-06,1.5471113279375004e-09,1.5407116090874036e-08
1998,7.742160115802627e-06,1.5541554392634843e-09,1.6780170649813693e-08
1999,7.892585082507659e-06,1.0035422413702732e-09,1.6952325765373644e-08
2000,8.079916824499378e-06,7.871618991549058e-10,1.798038962164128e-08
2001,8.323438578372588e-06,8.989472816927397e-10,1.9119043364363668e-08
2002,8.625977508407751e-06,8.719129307444007e-10,1.8862422481090235e-08
2003,8.819764194153582e-06,9.389898699855133e-10,1.8209688994781052e-08
2004,9.075723677856981e-06,9.573722132521262e-10,1.8534426818713915e-08
