ngram,construction,constructin,constructon,constructio
1898,0.00011573224245304508,2.234561310591029e-08,6.72792602581954e-09,1.4430697779589861e-08
1899,0.0001165432674627352,2.1851257057749407e-08,6.716103229109649e-09,1.4705098852882007e-08
1900,0.00011974598705169878,2.3040628706537192e-08,8.07001868504845e-09,1.474002152081409e-08
1901,0.0001222964669328316,2.2953927266858694e-08,9.41638849434006e-09,1.3663312513147372e-08
1902,0.00012682850189906145,2.3615111643948694e-08,1.095638316580708e-08,1.3294551491428917e-08
1903,0.00013214683193447336,2.4651352705161245e-08,1.2445431542472209e-08,1.3338578115045557e-08
1904,0.00013822736842225173,2.533233102651268e-08,1.4563234935443298e-08,1.3369736302187058e-08
1905,0.00014230177995549248,2.3873873037213604e-08,1.5229620485359063e-08,1.350935452393287e-08
1906,0.00014806041768419424,2.4385067171855164e-08,1.717166218741438e-08,1.3431703368585853e-08
1907,0.00015202794540008263,2.2987449658070806e-08,1.800602181642067e-08,1.3510064812903368e-08
1908,0.00015613158757332712,2.3203539407339642e-08,1.8948677040140993e-08,1.4266571289413475e-08
1909,0.00016043216289420213,2.2388712598139397e-08,2.034861346089656e-08,1.514938485769335e-08
1910,0.00016640788401543562,2.297944184143879e-08,2.1064144967957484e-08,1.6332264429763654e-08
1911,0.00016998112343052135,2.4044854742198496e-08,2.0677909670244584e-08,1.6698839390625964e-08
1912,0.0001746464944777212,2.429855377223638e-08,2.1980825794441572e-08,1.703299748864343e-08
1913,0.00017778937139415314,2.2628682166165552e-08,2.1807081600806148e-08,1.7832739475563486e-08
1914,0.00018084051927352057,2.249066634517151e-08,2.2531708308650067e-08,1.79588308668599e-08
1915,0.00018311570498294065,2.1407851237751985e-08,2.2512358961129005e-08,1.8419817544262125e-08
1916,0.00018347725563216954,2.278475566949315e-08,2.293348875882982e-08,1.8184703520773837e-08
1917,0.00018166354649500654,2.1444584520833943e-08,2.4122611210129563e-08,1.7684931614374884e-08
1918,0.00018111256317102483,1.9671510388872904e-08,2.5622291082478503e-08,1.8126405519426825e-08
1919,0.0001786623927598287,1.93440565153326e-08,2.561323496154598e-08,1.8365477265953293e-08
1920,0.00017542795311393484,1.80861661520331e-08,2.657516492580011e-08,1.754412945079561e-08
1921,0.00017328339163213968,1.6873152208773945e-08,2.647207608674762e-08,1.726552691293039e-08
1922,0.0001711917159679745,1.5703901734553938e-08,2.6319668730171283e-08,1.7100042524832914e-08
1923,0.0001697756233625114,1.3070302237342243e-08,2.6036050521887385e-08,1.8344657602499736e-08
