ngram,football,fotball,footbal,foootball
1967,5.693419617663105e-06,2.7319430547155324e-10,2.8401466892599305e-09,1.9806842673933796e-10
1968,5.792537129829205e-06,3.327910685119966e-10,3.015419469676317e-09,1.844138304364838e-10
1969,5.975844357765579e-06,4.213350541475742e-10,3.0908761899135176e-09,1.729872039264129e-10
1970,6.137113294763756e-06,4.255671727713763e-10,3.073774251000876e-09,1.2346792239397482e-10
1971,6.312489663936763e-06,5.149065420072065e-10,3.38565626328042e-09,1.7717332759633767e-10
1972,6.42180566501338e-06,4.6201605240016516e-10,3.5893222362558065e-09,1.5942352795038162e-10
1973,6.564902897870135e-06,4.3957913499679893e-10,3.5718750497031645e-09,8.907895651269878e-11
1974,6.596736966457684e-06,4.29340104143464e-10,3.7143884158906205e-09,9.65292835743346e-11
1975,6.577627508314825e-06,4.801302777976016e-10,3.7078722949144905e-09,8.767274208208522e-11
1976,6.51232052665104e-06,4.215666912776861e-10,3.7284751793923274e-09,9.47687186661891e-11
1977,6.415132377566936e-06,3.857455575200548e-10,3.811716434550963e-09,1.1082154043646447e-10
1978,6.35463447906659e-06,2.930726623686018e-10,3.74161048176193e-09,8.15959204964705e-11
1979,6.375293781145176e-06,3.4183886772818997e-10,3.809799428314672e-09,8.102817623217057e-11
1980,6.334639627831555e-06,2.910624806649688e-10,3.712145479894957e-09,1.045386594749382e-10
1981,6.389677050070272e-06,2.90027071803145e-10,3.5884902034004948e-09,1.2639264535779e-10
1982,6.489330384543532e-06,1.90619050306167e-10,3.4965568852994367e-09,1.3380414038659845e-10
1983,6.587318434217845e-06,1.652419064674631e-10,3.3893631076356965e-09,1.325362894829699e-10
1984,6.693743476457062e-06,1.7191668227889423e-10,3.668861056230607e-09,1.2383406106097894e-10
1985,6.854460090315635e-06,1.609791932691681e-10,3.6005206435366486e-09,1.210565011328895e-10
1986,6.945453930841593e-06,1.2603009806401643e-10,3.4489397052591843e-09,1.129288002396248e-10
1987,7.126926123289325e-06,1.1589454990928211e-10,3.4247003645658326e-09,1.0279325208489049e-10
1988,7.177637079231707e-06,1.5608623124155737e-10,3.5699975991272073e-09,9.236989942770383e-11
1989,7.2311236181121785e-06,1.5380778198689375e-10,3.822250167167291e-09,9.8262427956313e-11
1990,7.3252849688287824e-06,1.456602328832522e-10,3.9477093023115066e-09,1.0342980341241211e-10
1991,7.5385334119865936e-06,1.5066685101919727e-10,3.645759059724339e-09,1.157870148966416e-10
1992,7.659649652071363e-06,1.353269718507022e-10,3.748155341654069e-09,1.2589652138255454e-10
1993,7.852673271762406e-06,1.4727529909893836e-10,4.024169695883626e-09,1.323378807332227e-10
1994,8.010430454825318e-06,1.5991288353024912e-10,4.0582626465684206e-09,1.1896294564518938e-10
1995,8.30664573316296e-06,1.4917152334798748e-10,3.889154839445805e-09,9.123730640040303e-11
1996,8.77895471213768e-06,2.1114200170004238e-10,3.719364943017516e-09,8.423532209058036e-11
1997,9.224577817284236e-06,2.0448453942017204e-10,3.744762849018051e-09,6.426293525096938e-11
1998,9.613347044380913e-06,2.3677682136386784e-10,3.7192770133539656e-09,5.033291789310493e-11
1999,1.009686444116856e-05,2.412609635880715e-10,3.596795115713901e-09,2.394443026790657e-11
2000,1.050231678943549e-05,2.985743953663546e-10,3.167781243667329e-09,1.7503070917238415e-11
2001,1.1189182129913076e-05,2.928447960316914e-10,3.048662750820037e-09,1.7503070917238415e-11
2002,1.1895969432121742e-05,2.8034620061908756e-10,3.1204677254846403e-09,2.8240178548807495e-11
2003,1.2320467508938496e-05,2.2421037447285996e-10,2.877664329048457e-09,2.1938139301212546e-11
2004,1.2855462825557748e-05,4.260722191729016e-10,2.556857138711978e-09,2.6984685319586532e-11
2005,1.330213360363684e-05,4.1878947333793906e-10,2.2818223025363895e-09,2.6175491337924026e-11
2006,1.3865529191597098e-05,4.5426213584371615e-10,2.037555917639671e-09,4.6485107429994343e-11
2007,1.467696763159308e-05,5.160966178228778e-10,1.920101633245963e-09,5.185226851064531e-11
2008,1.5389148497238887e-05,5.169780159519632e-10,1.7756919585514603e-09,5.185226851064531e-11
2009,1.5760318222289372e-05,6.424165068955442e-10,1.624169132519171e-09,4.941251921519729e-11
2010,1.6310105041027e-05,6.49376988689657e-10,1.701635610196206e-09,5.76003114253051e-11
2011,1.698045837526609e-05,5.682174651435088e-10,1.9890388225363154e-09,6.183855957060075e-11
2012,1.7445723902450743e-05,7.531139918042535e-10,1.9558306720211606e-09,5.686996607761381e-11
2013,1.7762483236895476e-05,7.817091616870085e-10,1.846286195356888e-09,3.1137105790549466e-11
2014,1.7621848590871586e-05,6.731660625750432e-10,1.7509305830617654e-09,3.616144487025455e-11
2015,1.7100405524875635e-05,8.692285998122631e-10,1.7015095760924176e-09,3.616144487025455e-11
2016,1.6932480840685976e-05,9.368842745256195e-10,1.4861329389326272e-09,4.038105812033597e-11
2017,1.6855868276858626e-05,1.0548219566327195e-09,1.2944102549076557e-09,3.7558810228599526e-11
2018,1.6401332504756284e-05,1.0968030983438127e-09,8.188650757467997e-10,3.2071860445181956e-11
2019,1.6088513575596153e-05,9.691796046262802e-10,7.338940705148289e-10,4.008982555647744e-11
