ngram,breath,breth,brath,breath
1961,1.0682369715401105e-05,1.3791646554953526e-08,1.6381800122771445e-09,1.0682369715401105e-05
1962,1.0724555977503769e-05,1.5678138914105537e-08,1.561974050101611e-09,1.0724555977503769e-05
1963,1.0801280820617518e-05,1.6713436349188474e-08,2.2465385107750535e-09,1.0801280820617518e-05
1964,1.0827769074239768e-05,1.791371660532702e-08,2.5027901814514817e-09,1.0827769074239768e-05
1965,1.088878408544198e-05,1.7368111393523122e-08,2.5450852060769437e-09,1.088878408544198e-05
1966,1.0903241023437918e-05,1.8504179014452608e-08,2.2793527224404133e-09,1.0903241023437918e-05
1967,1.0967258276650682e-05,1.8208996976909475e-08,2.541593015413314e-09,1.0967258276650682e-05
1968,1.0979877905421226e-05,1.7227128295311493e-08,2.608747503732697e-09,1.0979877905421226e-05
1969,1.0775573952871906e-05,1.5710625816162908e-08,2.7119734394684005e-09,1.0775573952871906e-05
1970,1.055509216842308e-05,1.4761079977379917e-08,2.270445292091543e-09,1.055509216842308e-05
1971,1.0375458259659354e-05,1.3558820225309124e-08,1.9906772738157284e-09,1.0375458259659354e-05
1972,1.014262293860416e-05,1.2357261119128843e-08,2.3012009440849722e-09,1.014262293860416e-05
1973,9.940234251968962e-06,1.1165762663673767e-08,2.3819249429988888e-09,9.940234251968962e-06
1974,9.732048056321219e-06,1.0382237545871118e-08,2.2492961144442755e-09,9.732048056321219e-06
1975,9.723400060985504e-06,1.0303897544718308e-08,2.192205750262133e-09,9.723400060985504e-06
1976,9.794849315117712e-06,9.820682108799668e-09,2.2821448857663587e-09,9.794849315117712e-06
1977,1.0000317031101855e-05,9.710856055785858e-09,2.420975578739818e-09,1.0000317031101855e-05
1978,1.022612208804016e-05,9.726723997666958e-09,2.4435828598663126e-09,1.022612208804016e-05
1979,1.0588100979345785e-05,9.24820556643827e-09,2.297433608435183e-09,1.0588100979345785e-05
1980,1.0964041263962696e-05,8.873119953075762e-09,2.293912900900149e-09,1.0964041263962696e-05
1981,1.1346853950401834e-05,9.201396660480604e-09,2.2742401295516856e-09,1.1346853950401834e-05
1982,1.1807192095147911e-05,9.063724818300249e-09,2.3058784405703493e-09,1.1807192095147911e-05
1983,1.236164761004537e-05,9.28354942126524e-09,2.3188017855042223e-09,1.236164761004537e-05
1984,1.29234745795007e-05,8.960649492248e-09,1.9982543873555058e-09,1.29234745795007e-05
1985,1.3493022899118451e-05,9.100950088785403e-09,1.9506282620897407e-09,1.3493022899118451e-05
1986,1.3981217307446059e-05,9.849107307502436e-09,1.8360279963047788e-09,1.3981217307446059e-05
1987,1.4461682959725814e-05,9.55685219850011e-09,1.7273589542859164e-09,1.4461682959725814e-05
1988,1.509958318430498e-05,9.112192397456705e-09,1.797859924427111e-09,1.509958318430498e-05
1989,1.563381179689064e-05,8.847002051583428e-09,1.7439104922039356e-09,1.563381179689064e-05
1990,1.6134160822340554e-05,1.0389132538384566e-08,1.7451609522569e-09,1.6134160822340554e-05
1991,1.6603423708667314e-05,1.0060010602330749e-08,1.806021697271985e-09,1.6603423708667314e-05
1992,1.7032433918627377e-05,9.992953004760757e-09,1.8478519349583523e-09,1.7032433918627377e-05
1993,1.7655747277396066e-05,9.204851103561396e-09,1.94791173667243e-09,1.7655747277396066e-05
1994,1.8312524324366158e-05,9.313397545237682e-09,1.973053879008749e-09,1.8312524324366158e-05
1995,1.8910968460009565e-05,9.298748564796305e-09,2.046945501987807e-09,1.8910968460009565e-05
1996,1.968188111537269e-05,9.282664985883165e-09,2.3256401725037433e-09,1.968188111537269e-05
1997,2.094219598802738e-05,7.518365485736922e-09,2.259193054854336e-09,2.094219598802738e-05
1998,2.2242568645326954e-05,7.662572290964168e-09,2.3412691785296147e-09,2.2242568645326954e-05
1999,2.3746734379009077e-05,7.30599720404663e-09,2.4656746961631323e-09,2.3746734379009077e-05
2000,2.50725827624722e-05,7.691073809569713e-09,2.514963808637154e-09,2.50725827624722e-05
2001,2.6669629733078182e-05,7.448339342123031e-09,2.496142388024631e-09,2.6669629733078182e-05
2002,2.8374900336660047e-05,7.562770346477724e-09,2.3034023894601727e-09,2.8374900336660047e-05
2003,3.0177351488548864e-05,7.936824911577593e-09,2.1110152990745844e-09,3.0177351488548864e-05
