ngram,court,crt,cout,curt
1779,0.00027542991821454573,7.299188453657734e-08,5.204959866286377e-08,2.3284567975321936e-07
1780,0.0002921888184833473,6.780150282484751e-08,4.636711586109803e-08,2.6425734185003033e-07
1781,0.00028652916288202893,5.826422113029496e-08,4.9064881173827805e-08,2.4405550951606916e-07
1782,0.00027457425520489257,6.184993241374417e-08,4.1095835813718754e-08,2.489346643739866e-07
1783,0.0002689850578982649,6.077439148758198e-08,5.143106106077409e-08,2.4683061740558644e-07
1784,0.00027929100074938366,5.158845135205021e-08,5.849984319183932e-08,2.392673569115037e-07
1785,0.00027228328066744974,5.41167760762359e-08,5.501077891624716e-08,2.5469012549755074e-07
1786,0.00025579753024170974,3.9102195005723065e-08,5.5129289831614055e-08,2.32464531433964e-07
1787,0.0002492670714023656,4.554790322686131e-08,5.172015082877124e-08,2.1255369883225024e-07
1788,0.000257626040755505,4.956218191409789e-08,4.3558741248870906e-08,2.3584415893245542e-07
1789,0.0002848159264041377,5.3558244823242214e-08,4.87181889750689e-08,2.3473197684000168e-07
1790,0.00030527266166505536,5.915268224449781e-08,4.5614229726709254e-08,2.529009179852437e-07
1791,0.0003059078984993643,6.060401755040143e-08,4.10572283472886e-08,2.5762029411323185e-07
1792,0.0003104522953175807,6.448428838520418e-08,4.3820695516672004e-08,2.389324740598957e-07
1793,0.0003045241194610883,6.334585326125567e-08,4.902867584937505e-08,2.408775604375738e-07
1794,0.00030374585808853487,6.787798665998577e-08,5.173147649933136e-08,2.557209808985915e-07
1795,0.000305182281798417,6.460503497253609e-08,5.837780595438094e-08,2.34396582397624e-07
1796,0.0002924719862806212,6.171986452078012e-08,5.6225574037885706e-08,2.3569971777500802e-07
1797,0.0002795429962653933,5.687854200329769e-08,5.308502234616494e-08,2.3244028365557563e-07
1798,0.0002669785005439605,5.4048726383371104e-08,5.575638490589492e-08,2.1526310588017493e-07
1799,0.0002628571279014328,4.808553910606861e-08,5.9553173059612163e-08,2.1572633914144846e-07
1800,0.00026387110951223543,4.9416662254283695e-08,6.401491298951051e-08,2.0531147271185546e-07
1801,0.0002478449709347582,4.215354440110072e-08,6.605939668296352e-08,1.856844207281938e-07
1802,0.0002414291354528229,4.626971948442003e-08,6.590828251416627e-08,1.8126601832234102e-07
1803,0.00023620018328074366,4.7810425333035967e-08,6.379766556311292e-08,1.5470825940967969e-07
1804,0.00023788066339745586,5.277567157894022e-08,6.98078384938786e-08,1.3589611264868446e-07
1805,0.0002540478017181158,5.128501889828385e-08,7.157439035105589e-08,1.3661770330892458e-07
1806,0.00025456128059886396,5.044832539015585e-08,7.153597232039439e-08,1.2809238419159946e-07
1807,0.0002636409751305889,4.8910126742336095e-08,6.881023192509669e-08,1.320278306999561e-07
1808,0.00027616015203031045,5.037339332959943e-08,7.195297056585202e-08,1.2856854324029753e-07
1809,0.00028152901878846545,4.549027871852169e-08,6.96396372948779e-08,1.2828221684912933e-07
1810,0.00028977126515071305,4.094097048680721e-08,7.076820653294038e-08,1.1826366273583386e-07
1811,0.00029436546693822104,3.4623554309324133e-08,6.475208382182376e-08,9.992535357891289e-08
1812,0.00028092158650646785,3.3467075460131516e-08,6.586491859853335e-08,9.436557490971609e-08
1813,0.00029358028509055397,3.4697393402893795e-08,6.573951998640431e-08,9.65687304090222e-08
1814,0.00029628855866446557,3.0300853635724575e-08,6.280200385130488e-08,1.003120857490103e-07
