ngram,warning,warng,warng,warng
1876,1.4790013795261206e-05,3.180817038333268e-10,3.180817038333268e-10,3.180817038333268e-10
1877,1.4792122263835544e-05,3.4574858848961705e-10,3.4574858848961705e-10,3.4574858848961705e-10
1878,1.461686549321582e-05,3.414578857758548e-10,3.414578857758548e-10,3.414578857758548e-10
1879,1.4609079439001757e-05,3.763716996793168e-10,3.763716996793168e-10,3.763716996793168e-10
1880,1.4606900939335382e-05,3.7024963055782527e-10,3.7024963055782527e-10,3.7024963055782527e-10
1881,1.4626156891089132e-05,3.538993919344995e-10,3.538993919344995e-10,3.538993919344995e-10
1882,1.4555758752976544e-05,3.1378436158936903e-10,3.1378436158936903e-10,3.1378436158936903e-10
1883,1.4576483408745844e-05,2.6924302073564176e-10,2.6924302073564176e-10,2.6924302073564176e-10
1884,1.4584828802201497e-05,1.9933967571843832e-10,1.9933967571843832e-10,1.9933967571843832e-10
1885,1.4604425814468414e-05,1.6305431608084779e-10,1.6305431608084779e-10,1.6305431608084779e-10
1886,1.4541464744460037e-05,1.2814050217738578e-10,1.2814050217738578e-10,1.2814050217738578e-10
1887,1.462830368836876e-05,1.2288778724770363e-10,1.2288778724770363e-10,1.2288778724770363e-10
1888,1.4523339164692775e-05,5.975659649643766e-11,5.975659649643766e-11,5.975659649643766e-11
1889,1.4547589411709591e-05,1.1209838612913359e-10,1.1209838612913359e-10,1.1209838612913359e-10
1890,1.4504787941405084e-05,7.99757581588472e-11,7.99757581588472e-11,7.99757581588472e-11
1891,1.4444023171173675e-05,1.3118586177680262e-10,1.3118586177680262e-10,1.3118586177680262e-10
1892,1.4481474993642354e-05,1.9860061016365093e-10,1.9860061016365093e-10,1.9860061016365093e-10
1893,1.462215823266888e-05,1.9860061016365093e-10,1.9860061016365093e-10,1.9860061016365093e-10
1894,1.4547425053024199e-05,1.7096664163749964e-10,1.7096664163749964e-10,1.7096664163749964e-10
1895,1.4694727594490229e-05,1.7096664163749964e-10,1.7096664163749964e-10,1.7096664163749964e-10
1896,1.4850995025231636e-05,1.573857036759766e-10,1.573857036759766e-10,1.573857036759766e-10
1897,1.5014413942740898e-05,1.9453921410291945e-10,1.9453921410291945e-10,1.9453921410291945e-10
1898,1.5056094525789376e-05,1.7940544684767546e-10,1.7940544684767546e-10,1.7940544684767546e-10
1899,1.5149275766037005e-05,1.484185116077238e-10,1.484185116077238e-10,1.484185116077238e-10
1900,1.510334849237032e-05,1.8455972068081346e-10,1.8455972068081346e-10,1.8455972068081346e-10
1901,1.5167688486274398e-05,2.016964075915847e-10,2.016964075915847e-10,2.016964075915847e-10
1902,1.5141136308167396e-05,2.1891469787720704e-10,2.1891469787720704e-10,2.1891469787720704e-10
1903,1.4962363431030618e-05,1.9609299105129351e-10,1.9609299105129351e-10,1.9609299105129351e-10
1904,1.4907444373030948e-05,1.906469605199896e-10,1.906469605199896e-10,1.906469605199896e-10
1905,1.499464425640846e-05,1.8506434876616344e-10,1.8506434876616344e-10,1.8506434876616344e-10
1906,1.4910783647792414e-05,1.4863653561926681e-10,1.4863653561926681e-10,1.4863653561926681e-10
1907,1.495595266273345e-05,1.710960222706908e-10,1.710960222706908e-10,1.710960222706908e-10
1908,1.4812186366595728e-05,2.0885715181138765e-10,2.0885715181138765e-10,2.0885715181138765e-10
1909,1.4835017282166518e-05,1.9163886152576533e-10,1.9163886152576533e-10,1.9163886152576533e-10
1910,1.485548922833654e-05,2.0324749621420628e-10,2.0324749621420628e-10,2.0324749621420628e-10
1911,1.4902798414238663e-05,2.2745174394727437e-10,2.2745174394727437e-10,2.2745174394727437e-10
