ngram,income,icome,inome,inome
1915,7.7060452895239e-05,4.1335349429009025e-09,3.5023226223935514e-09,3.5023226223935514e-09
1916,8.380026598128357e-05,4.361178878348986e-09,3.88155764672961e-09,3.88155764672961e-09
1917,8.928899270748454e-05,4.522859452040149e-09,3.9322796764805295e-09,3.9322796764805295e-09
1918,9.454343671677634e-05,4.929632035910458e-09,4.27670359443815e-09,4.27670359443815e-09
1919,9.918313090955573e-05,5.018445817636266e-09,4.324983767948051e-09,4.324983767948051e-09
1920,0.00010220970372236999,5.5065263142901296e-09,4.25836892732028e-09,4.25836892732028e-09
1921,0.00010553335388457137,5.924875003314258e-09,4.593504148482046e-09,4.593504148482046e-09
1922,0.00010794690440109531,6.373161617493192e-09,4.4950099198359794e-09,4.4950099198359794e-09
1923,0.00010983484389726073,6.568651273702082e-09,4.346751308099377e-09,4.346751308099377e-09
1924,0.00011404167578023459,6.463427126846e-09,4.492762384344928e-09,4.492762384344928e-09
1925,0.0001173035696930518,6.080819784212313e-09,4.5702905904221325e-09,4.5702905904221325e-09
1926,0.00012028462515445426,6.4259575438541106e-09,4.5270290056314315e-09,4.5270290056314315e-09
1927,0.00012512932361070334,6.243625108989395e-09,5.134016069417515e-09,5.134016069417515e-09
1928,0.00012794779675979434,6.284544694169978e-09,5.24176315051607e-09,5.24176315051607e-09
1929,0.00013457951302241002,6.331059232422831e-09,5.821875172427684e-09,5.821875172427684e-09
1930,0.00014032499789859036,6.459896617627692e-09,6.022186939601073e-09,6.022186939601073e-09
1931,0.00014359583812100546,7.0841213530213415e-09,5.90014614942902e-09,5.90014614942902e-09
1932,0.0001482171459688938,7.599133576365245e-09,5.995960680341536e-09,5.995960680341536e-09
1933,0.00015637800762695924,7.866426303999269e-09,6.233981331149607e-09,6.233981331149607e-09
1934,0.00016243784297590276,7.87726252480882e-09,6.245088065729273e-09,6.245088065729273e-09
1935,0.00016820006879113083,8.764892113686886e-09,6.17833156064356e-09,6.17833156064356e-09
1936,0.0001764818443916738,9.277544446969647e-09,6.075101628104968e-09,6.075101628104968e-09
1937,0.0001856194992017533,9.584663602473548e-09,6.026106978497734e-09,6.026106978497734e-09
1938,0.0001956272982559832,1.03701906744342e-08,6.66645526083341e-09,6.66645526083341e-09
1939,0.00020591134671121836,1.0880822084605564e-08,6.743881960805506e-09,6.743881960805506e-09
1940,0.00021093365545051971,1.088888103493803e-08,7.302700476076649e-09,7.302700476076649e-09
1941,0.00021339027028131698,1.2299630139775023e-08,7.412146134961566e-09,7.412146134961566e-09
1942,0.0002173175765035142,1.2940609726643158e-08,8.181348995098655e-09,8.181348995098655e-09
1943,0.00021033522248866836,1.3300585648729729e-08,8.269955958135305e-09,8.269955958135305e-09
1944,0.00020726645223995938,1.3847701778908167e-08,8.990148054570973e-09,8.990148054570973e-09
1945,0.0002037522811276306,1.328577438540281e-08,8.748904331160442e-09,8.748904331160442e-09
1946,0.00019706606690306216,1.3512560721145356e-08,8.903021050546807e-09,8.903021050546807e-09
1947,0.0001912334929719301,1.3508594877618764e-08,8.619502191363284e-09,8.619502191363284e-09
1948,0.0001925941469380632,1.2665359301016516e-08,8.706737933802548e-09,8.706737933802548e-09
1949,0.00018879144045058638,1.1993011536251937e-08,8.668085677803511e-09,8.668085677803511e-09
1950,0.00019406733502234732,1.1894102972373081e-08,9.727336396687342e-09,9.727336396687342e-09
1951,0.00019555971708281765,1.1947342036324114e-08,9.176744951235248e-09,9.176744951235248e-09
1952,0.0001960931736643293,1.2472103350091857e-08,9.261329227326444e-09,9.261329227326444e-09
1953,0.00019715874805115163,1.226265006997502e-08,9.338976068663994e-09,9.338976068663994e-09
1954,0.00019887573684432676,1.2520559953900699e-08,9.797381953343835e-09,9.797381953343835e-09
1955,0.00019832001167482564,1.2471862146209593e-08,1.015647845191227e-08,1.015647845191227e-08
1956,0.0002013534852137257,1.2709954105056503e-08,1.001312835821214e-08,1.001312835821214e-08
1957,0.0001989172908776839,1.2925769153428388e-08,9.384971022541322e-09,9.384971022541322e-09
1958,0.0001972002085364823,1.245605434669577e-08,9.819674851030413e-09,9.819674851030413e-09
1959,0.0001941640512086451,1.215389363754379e-08,1.0095906840693455e-08,1.0095906840693455e-08
