ngram,soup,sop,sup,soup
1823,3.506166844350186e-06,5.151570487019594e-07,8.014115142681735e-06,3.506166844350186e-06
1824,3.723118197740405e-06,5.093632426321295e-07,7.814733635314042e-06,3.723118197740405e-06
1825,3.661299810378945e-06,4.807281592482988e-07,7.5617151326566405e-06,3.661299810378945e-06
1826,3.761840421897692e-06,4.5924474128306816e-07,7.500624308574645e-06,3.761840421897692e-06
1827,3.6018667028006997e-06,4.459623182486082e-07,7.3158377225419306e-06,3.6018667028006997e-06
1828,3.47770177151168e-06,4.4086461668614773e-07,7.1310589321780886e-06,3.47770177151168e-06
1829,3.331531485985449e-06,3.6748308827684794e-07,6.792560660479856e-06,3.331531485985449e-06
1830,3.3749822705431143e-06,3.70616780693516e-07,6.664194773163347e-06,3.3749822705431143e-06
1831,3.2777318535538924e-06,3.636766539979622e-07,6.71126437217546e-06,3.2777318535538924e-06
1832,3.2945987576178074e-06,3.687983962663566e-07,6.574840361801242e-06,3.2945987576178074e-06
1833,3.3330759703988278e-06,3.805182180777982e-07,6.436309117166924e-06,3.3330759703988278e-06
1834,3.3722220190871407e-06,3.8911901713488207e-07,6.343824809716482e-06,3.3722220190871407e-06
1835,3.4806192356232453e-06,3.8825931320778704e-07,6.437262657397826e-06,3.4806192356232453e-06
1836,3.6317181379022908e-06,3.9994406262979153e-07,6.575793642176515e-06,3.6317181379022908e-06
1837,3.6675479090523107e-06,3.7981488227550084e-07,7.2219877438328695e-06,3.6675479090523107e-06
1838,3.7338232102359015e-06,3.7783042573989535e-07,7.135520653329357e-06,3.7338232102359015e-06
1839,3.854612227119755e-06,3.812990395804913e-07,7.1845735354665e-06,3.854612227119755e-06
1840,3.8237472901008525e-06,3.756207068558329e-07,7.185816879687731e-06,3.8237472901008525e-06
1841,3.889143792028855e-06,3.8198150572757837e-07,7.206170851402151e-06,3.889143792028855e-06
1842,3.931517669895714e-06,4.005652272098814e-07,7.124327631962453e-06,3.931517669895714e-06
1843,4.063878837509297e-06,4.1627683344813704e-07,7.205353085737443e-06,4.063878837509297e-06
1844,4.4392340246953865e-06,4.254662582882572e-07,6.501317589676806e-06,4.4392340246953865e-06
1845,4.412422705562287e-06,4.3837878901545733e-07,6.389771507591442e-06,4.412422705562287e-06
1846,4.3470666436665595e-06,4.42390298108616e-07,6.348259310990605e-06,4.3470666436665595e-06
1847,4.290002022701499e-06,4.4028048559344566e-07,6.4243679714439035e-06,4.290002022701499e-06
1848,4.2115310147242524e-06,4.236004664497679e-07,6.4459077943216215e-06,4.2115310147242524e-06
1849,4.24251717439412e-06,4.178703615512599e-07,6.49939940038686e-06,4.24251717439412e-06
1850,4.137711487471409e-06,4.089764534650645e-07,6.423581908165943e-06,4.137711487471409e-06
1851,3.849783005145062e-06,4.022267278612292e-07,6.489744074705024e-06,3.849783005145062e-06
1852,3.942240482501802e-06,3.907152168786914e-07,6.509649145820211e-06,3.942240482501802e-06
1853,4.014620896798858e-06,3.8318178293853376e-07,6.714389331006844e-06,4.014620896798858e-06
1854,4.086862190888496e-06,3.887541757714124e-07,6.731236615970764e-06,4.086862190888496e-06
1855,4.1379969063979975e-06,3.872746958677453e-07,6.883397288350222e-06,4.1379969063979975e-06
1856,4.087344417972158e-06,3.83194743238034e-07,6.794831149038925e-06,4.087344417972158e-06
1857,4.150803566257569e-06,3.8623333661494795e-07,6.805644326440026e-06,4.150803566257569e-06
1858,4.1352099547761356e-06,3.889773958170346e-07,6.832920007582288e-06,4.1352099547761356e-06
1859,4.15471517304208e-06,3.8524453316313156e-07,6.813814577201681e-06,4.15471517304208e-06
1860,4.263193724390086e-06,3.8694437470050094e-07,6.732206137322854e-06,4.263193724390086e-06
1861,4.44772409277253e-06,3.8148322443833293e-07,6.671262716346453e-06,4.44772409277253e-06
1862,4.59077669542499e-06,3.947171031930858e-07,6.457799307619487e-06,4.59077669542499e-06
1863,4.666135347568863e-06,3.892518358432946e-07,6.5446225302626516e-06,4.666135347568863e-06
1864,4.692366149226603e-06,3.853242763593049e-07,6.584709223846273e-06,4.692366149226603e-06
1865,4.786482609883283e-06,3.997941868354766e-07,6.452391387158839e-06,4.786482609883283e-06
1866,4.82612547005244e-06,4.167147307855755e-07,6.488837568342985e-06,4.82612547005244e-06
1867,4.754189571290876e-06,4.2756333381735854e-07,6.29063164784124e-06,4.754189571290876e-06
1868,4.645135179868833e-06,4.4865548634983756e-07,6.244823453016579e-06,4.645135179868833e-06
1869,4.51004364419662e-06,4.525046425182414e-07,6.173874875717697e-06,4.51004364419662e-06
1870,4.512271971179871e-06,4.5310248505562155e-07,6.0007472971587305e-06,4.512271971179871e-06
1871,4.529800727531048e-06,4.5351082381525233e-07,5.818082302409623e-06,4.529800727531048e-06
1872,4.492054943381975e-06,4.4122070416311286e-07,5.757324613244107e-06,4.492054943381975e-06
1873,4.423612868517271e-06,4.254046562631889e-07,5.7959907410674664e-06,4.423612868517271e-06
1874,4.399570830823255e-06,4.036275324129487e-07,5.8059736797336626e-06,4.399570830823255e-06
1875,4.390842734989876e-06,3.821606274608972e-07,5.778081426147505e-06,4.390842734989876e-06
1876,4.473818015477653e-06,3.8141951920676676e-07,5.72743666842663e-06,4.473818015477653e-06
1877,4.398596047394676e-06,3.929015406356484e-07,5.735505835348574e-06,4.398596047394676e-06
1878,4.308363486416056e-06,4.014910725150652e-07,5.732461626653926e-06,4.308363486416056e-06
1879,4.247883258098487e-06,4.052749318361748e-07,5.7189234082345915e-06,4.247883258098487e-06
1880,4.1962464365497e-06,4.14292048032751e-07,5.650488544363595e-06,4.1962464365497e-06
1881,4.174416160042581e-06,4.2279425624006504e-07,5.5265680072937225e-06,4.174416160042581e-06
1882,4.244632918926072e-06,4.269567333332296e-07,5.449052358536781e-06,4.244632918926072e-06
1883,4.16252139854935e-06,4.1671476732777333e-07,5.460461904606616e-06,4.16252139854935e-06
1884,4.185305475143e-06,4.000317923263148e-07,5.381641325844352e-06,4.185305475143e-06
1885,4.203520867512063e-06,3.8847621551342725e-07,5.332243030612257e-06,4.203520867512063e-06
1886,4.225348220643355e-06,3.8473823695182675e-07,5.233625610604317e-06,4.225348220643355e-06
1887,4.17977886562377e-06,3.8243620435553437e-07,5.194982674895852e-06,4.17977886562377e-06
1888,4.135046667995214e-06,3.817436485015995e-07,5.234468907084582e-06,4.135046667995214e-06
1889,4.035325900986209e-06,3.7128619315548607e-07,5.235571409554853e-06,4.035325900986209e-06
1890,4.026367702993282e-06,3.7226881285537926e-07,5.2135565056232736e-06,4.026367702993282e-06
1891,3.985442390330718e-06,3.7635152645114953e-07,5.225288987276144e-06,3.985442390330718e-06
1892,4.054354803884053e-06,3.726850406694991e-07,5.224234428169439e-06,4.054354803884053e-06
