ngram,understanding,understadning,understading,uderstanding
1969,7.387501786329917e-05,3.0680448459552423e-10,3.6229213914599055e-09,3.1214696541833777e-09
1970,7.408387110834675e-05,2.847280764336649e-10,3.6388472552622328e-09,3.292235722136232e-09
1971,7.430430559907109e-05,2.3954947747650834e-10,3.8517604344130115e-09,3.3344032614378095e-09
1972,7.475558023933055e-05,3.3472083240036557e-10,4.115696291709778e-09,3.712935197392702e-09
1973,7.508633487824616e-05,3.083416181112345e-10,4.071330891467337e-09,4.166880015635652e-09
1974,7.550380853769769e-05,3.409316301494769e-10,4.035556301827472e-09,4.38507233698918e-09
1975,7.64172977402008e-05,2.9366075642618076e-10,4.248851683184642e-09,5.181612662750825e-09
1976,7.69697715960709e-05,3.0597180146672645e-10,4.421206289961788e-09,5.309595683757249e-09
1977,7.758890257848958e-05,3.205384271501696e-10,4.312113808881333e-09,5.835628044284899e-09
1978,7.814412570691534e-05,3.818629995544498e-10,4.437055199448179e-09,5.979262164755385e-09
1979,7.875607220090128e-05,3.1645292537201593e-10,4.5390697867020435e-09,6.056893653294537e-09
1980,7.921982199020152e-05,3.948211975611317e-10,4.87986092804046e-09,5.872434728969113e-09
1981,7.978214125614613e-05,6.292741446970293e-10,5.029843018279832e-09,5.686951861808406e-09
1982,8.010933379409835e-05,6.338936201341231e-10,5.0393100486141e-09,4.949748547541535e-09
1983,8.094168671440067e-05,6.15285055048455e-10,5.082292872263647e-09,4.542875694671775e-09
1984,8.16045212559402e-05,6.12581784901042e-10,5.361707458969736e-09,3.8302189991108145e-09
1985,8.258288705422143e-05,5.426730870228269e-10,5.313625158923482e-09,3.4068906743353213e-09
1986,8.332822575799323e-05,5.467370266838095e-10,5.037690391824461e-09,2.9688080248137437e-09
1987,8.451538867250617e-05,5.352434269610486e-10,4.733938511033589e-09,2.70946385962288e-09
1988,8.558322900041406e-05,3.0285751486035043e-10,4.471469416955642e-09,2.3313084478766247e-09
1989,8.683161494056029e-05,2.8575607356552876e-10,4.242708184776234e-09,2.1283696234013813e-09
1990,8.767901454120874e-05,3.2937813785961975e-10,3.9241129076320445e-09,2.0608103001862332e-09
1991,8.893357984821446e-05,3.1968356929899603e-10,3.4354164909647775e-09,1.8942653001730037e-09
1992,8.963631054419758e-05,3.0896257774415403e-10,3.199034212134474e-09,1.735896363161008e-09
1993,9.111133528806801e-05,2.7208382769039474e-10,3.1456048559570196e-09,1.5984608874625955e-09
1994,9.27184643972266e-05,2.1821541498371185e-10,2.849932924574107e-09,1.3399130059456509e-09
1995,9.438094899191387e-05,2.0910689350696543e-10,2.805046227040618e-09,1.2863504071449127e-09
1996,9.612135285611398e-05,2.58473287416207e-10,2.617745052470509e-09,1.1235523701889706e-09
1997,9.790077248388635e-05,2.0825129815049692e-10,2.534686159373832e-09,9.77151962519177e-10
1998,9.944838218091588e-05,2.0587685623756665e-10,2.3939612038757575e-09,9.342537933752583e-10
1999,0.00010213976409951491,1.9669720415941124e-10,2.196187993368832e-09,8.574829100739732e-10
2000,0.00010403164196759462,1.8006769488186436e-10,2.0412612869843574e-09,7.550112915818577e-10
2001,0.00010591573456102716,1.8227362575633828e-10,1.9275283908675486e-09,6.800678512394346e-10
2002,0.00010810490389953234,1.6209365397542745e-10,1.826521029662282e-09,6.46922047677277e-10
2003,0.00011004892543756537,1.3403632370678764e-10,1.784779181589004e-09,7.088408510951589e-10
2004,0.00011209480206681681,1.1607277192975702e-10,1.6349263530303558e-09,6.478904119549306e-10
2005,0.00011380895323652242,1.136451899847695e-10,1.543858104849757e-09,5.563684354495787e-10
2006,0.00011488643836595916,1.1281517436504248e-10,1.4173532664989758e-09,5.422018865632237e-10
2007,0.00011627793303757374,1.0260504796989954e-10,1.2287280320195342e-09,4.911512486398856e-10
2008,0.00011663979551355754,8.73928573357536e-11,1.1621448010273078e-09,4.4705712346334737e-10
