ngram,factor,facor,fator,fctr
1944,7.914432561457423e-05,3.4074326852159433e-09,4.2796566608010215e-09,8.776497504938061e-10
1945,8.028850840803768e-05,3.6344106137318833e-09,3.859160292916743e-09,9.407961116496872e-10
1946,8.14520099083893e-05,3.9314140197279e-09,3.3106292945157226e-09,8.743162186305601e-10
1947,8.318394767619404e-05,4.151718112156897e-09,2.939945652004537e-09,9.386285241116558e-10
1948,8.424097489166473e-05,4.160589555419441e-09,2.6713599903566934e-09,8.652785313653258e-10
1949,8.596121188020334e-05,4.0437785501065295e-09,2.472610529023557e-09,8.178672263246613e-10
1950,8.769592490612663e-05,3.827711512828711e-09,2.325436827226619e-09,8.290404315428443e-10
1951,8.884121676341497e-05,4.093293386781787e-09,2.617663229033594e-09,7.882690928567066e-10
1952,9.001041118088844e-05,4.060122967989141e-09,2.7847854815783127e-09,7.322174216157456e-10
1953,9.110364356144731e-05,3.840932936784367e-09,2.879150537030536e-09,7.77567399357082e-10
1954,9.216329427934917e-05,3.804652212327905e-09,2.9065990566782116e-09,7.632802564597593e-10
1955,9.413938615970048e-05,3.667362508912626e-09,2.991609372924943e-09,7.305457746678964e-10
1956,9.586207306711003e-05,3.552772266855543e-09,2.927237912382046e-09,6.554448115211489e-10
1957,9.725779403067593e-05,3.707416754547158e-09,2.7802092691534395e-09,6.13467334471223e-10
1958,9.859977892899354e-05,3.6080122064622142e-09,2.5295941214713888e-09,5.83543525009159e-10
1959,9.997362524570365e-05,3.672698875182131e-09,2.257976551765596e-09,5.684974019315447e-10
1960,0.0001010808305831493,3.793786649909845e-09,2.2892600672262476e-09,5.535783835299211e-10
1961,0.00010258509740067114,3.784233593151498e-09,2.38489068176457e-09,1.0372562907796328e-09
1962,0.00010246784014660599,3.775204054130248e-09,2.2228348209704254e-09,1.133922394472694e-09
1963,0.00010255633450079975,4.0513756476607506e-09,2.289417243085877e-09,1.2159288020896497e-09
1964,0.00010207997443753161,3.976290471488905e-09,2.3260790595257065e-09,1.1844330000914433e-09
1965,0.00010136861757408562,3.8444224946333955e-09,2.2101187705355787e-09,1.1359355717959524e-09
1966,0.00010048990017302068,3.852485600372038e-09,2.4088082956857146e-09,1.1360156426665213e-09
1967,0.00010008322923178119,3.903226250149114e-09,2.347925695137373e-09,1.1609352645880477e-09
1968,9.9402637195973e-05,4.030338190170417e-09,2.419318999104446e-09,6.464980019581037e-10
1969,0.00010019196633948013,3.991947915084535e-09,2.542931960241341e-09,5.257045830399574e-10
1970,0.00010027554734343929,3.851680815561817e-09,2.5173657761509307e-09,5.132267626757019e-10
1971,0.0001012025012252187,4.225328563224804e-09,2.6950690885334846e-09,5.846219183361764e-10
1972,0.0001025408907610524,4.287474661016485e-09,3.057167217791955e-09,6.445329468553394e-10
1973,0.00010403290382652943,4.568791884500862e-09,3.2546960047698447e-09,6.892067591238568e-10
1974,0.00010521421791054308,4.827024557840787e-09,3.5520118909663066e-09,6.740874961394131e-10
1975,0.00010598051345108875,4.889011671695341e-09,3.6687403274068433e-09,6.843301679295064e-10
1976,0.00010626735040984516,4.8438698766314505e-09,3.839641683965413e-09,6.697105568522131e-10
1977,0.0001069747335610113,4.6479730540584436e-09,4.074789331351017e-09,6.535100714545803e-10
1978,0.00010691377662754218,4.286442217044899e-09,4.213968221985656e-09,6.024277941575815e-10
1979,0.00010664735912411873,4.2223170039688645e-09,4.272894038592767e-09,6.670609342673828e-10
1980,0.00010641597847487512,3.891461946332291e-09,4.281200219732487e-09,5.981072740254437e-10
1981,0.00010584613690817995,3.5044980885499756e-09,4.239266207913975e-09,6.315969295186566e-10
1982,0.00010554274610642876,3.2686877966219593e-09,4.250395781367291e-09,6.542628542113452e-10
1983,0.0001051991234167612,3.371504472430128e-09,4.313255022988674e-09,6.578618047140391e-10
1984,0.00010490988954968219,3.6376529090529986e-09,4.4770875261081395e-09,6.217012539698277e-10
1985,0.00010468352307465725,3.5811758320696593e-09,4.597586121337014e-09,5.925922014997959e-10
1986,0.0001043516822392121,3.6445727388415403e-09,4.513871562242652e-09,4.527958206791892e-10
1987,0.00010393734971460487,3.6078991223169918e-09,4.349510021991623e-09,4.982500404323734e-10
1988,0.00010410041535838641,3.5972133843082635e-09,4.5840597349768226e-09,5.092668231565511e-10
1989,0.00010339057605181421,3.4659277035688417e-09,4.88478819298572e-09,5.052860709207709e-10
1990,0.0001023707601624275,3.4034399108508394e-09,4.883563902475479e-09,4.934133062446072e-10
1991,0.0001011092380005201,2.9272446688821674e-09,4.646206340299029e-09,5.215716945640634e-10
1992,0.00010005339884498556,2.7595469718834563e-09,4.6617027698354315e-09,5.871988569986339e-10
1993,9.878208116528444e-05,2.480103424216752e-09,4.6684822357130025e-09,6.414335213771644e-10
1994,9.771314008893179e-05,2.3638870860764882e-09,4.668953541247285e-09,5.866434163844961e-10
1995,9.629770855618907e-05,2.312613243761673e-09,4.2060051314812034e-09,5.454550303493225e-10
1996,9.488554081014757e-05,2.3532328784016597e-09,3.996305699059479e-09,4.960911681450852e-10
1997,9.302738284791953e-05,2.168761313394084e-09,3.9509271410054225e-09,5.309292093271165e-10
1998,9.177420413055058e-05,2.318033875958747e-09,4.235858838289427e-09,5.222229196696507e-10
1999,9.050632382111092e-05,2.2722292618888265e-09,4.003127480294617e-09,5.234670197307167e-10
