ngram,variation,variation,varition,varation
1842,1.0344232058352126e-05,1.0344232058352126e-05,3.72712416485399e-10,1.0864360522333527e-09
1843,1.0205721732095949e-05,1.0205721732095949e-05,5.038614763514764e-10,1.0390028202879519e-09
1844,1.011844895921448e-05,1.011844895921448e-05,5.038614763514764e-10,8.84119999433608e-10
1845,1.007740268375658e-05,1.007740268375658e-05,5.038614763514764e-10,7.982072701219676e-10
1846,9.855076054269116e-06,9.855076054269116e-06,3.522986029886559e-10,8.634277697578646e-10
1847,9.857513889853311e-06,9.857513889853311e-06,3.22337601055267e-10,7.72861302733574e-10
1848,1.010522373690037e-05,1.010522373690037e-05,2.523599900478806e-10,7.575713667495876e-10
1849,1.0124288824694564e-05,1.0124288824694564e-05,4.1357859993849747e-10,6.826041279836151e-10
1850,9.993766980187502e-06,9.993766980187502e-06,3.2989944902845584e-10,4.496712962304932e-10
1851,1.0035993649840488e-05,1.0035993649840488e-05,7.941853920532895e-10,4.960998913259931e-10
1852,1.0286447702258425e-05,1.0286447702258425e-05,1.0975548168725068e-09,4.293611260181811e-10
1853,1.022799447777548e-05,1.022799447777548e-05,1.1940734988082268e-09,4.1239996735014424e-10
1854,1.0420928317346676e-05,1.0420928317346676e-05,1.1233644292563127e-09,4.0229636288913184e-10
1855,1.0595939004685664e-05,1.0595939004685664e-05,1.595880170076772e-09,3.4760868786573186e-10
1856,1.0630443804464968e-05,1.0630443804464968e-05,1.7328543956894394e-09,3.395272237963606e-10
1857,1.1140995411551557e-05,1.1140995411551557e-05,1.6853844867334038e-09,2.4458740588428896e-10
1858,1.1563752065870045e-05,1.1563752065870045e-05,1.2210985437085701e-09,3.709693544414908e-10
1859,1.1421515020109447e-05,1.1421515020109447e-05,9.177291188893528e-10,3.709693544414908e-10
1860,1.1688901785029365e-05,1.1688901785029365e-05,8.82205645837329e-10,3.8370522235732704e-10
1861,1.1719920231761144e-05,1.1719920231761144e-05,8.317037852074399e-10,8.980701817127925e-10
1862,1.157354472525185e-05,1.157354472525185e-05,5.820611294536451e-10,8.980701817127925e-10
1863,1.1477462716616823e-05,1.1477462716616823e-05,3.3160617505880094e-10,7.986725725217525e-10
1864,1.1194028437395381e-05,1.1194028437395381e-05,4.2579641796563246e-10,1.081243301242247e-09
1865,1.0991391848490042e-05,1.0991391848490042e-05,6.911557239229284e-10,1.4391513695041373e-09
1866,1.1175521259636817e-05,1.1175521259636817e-05,8.238745836346745e-10,1.6603494769538786e-09
1867,1.0969151714691958e-05,1.0969151714691958e-05,8.060918321728394e-10,1.7722040977576269e-09
1868,1.1191100514094745e-05,1.1191100514094745e-05,9.405269301472024e-10,1.3865840697846465e-09
1869,1.1398823776939285e-05,1.1398823776939285e-05,8.364114995844979e-10,1.3865840697846465e-09
1870,1.1732757229765411e-05,1.1732757229765411e-05,7.886736184760577e-10,1.6400028319501254e-09
1871,1.2153570423834026e-05,1.2153570423834026e-05,7.756355002719317e-10,1.5603124189514768e-09
1872,1.2400386887228315e-05,1.2400386887228315e-05,6.331313251450865e-10,1.3981592074584016e-09
1873,1.2612460133303622e-05,1.2612460133303622e-05,5.004124654333403e-10,1.2159698525859852e-09
1874,1.328611883114458e-05,1.328611883114458e-05,5.36681437386071e-10,1.798193613852409e-09
1875,1.3591898615621695e-05,1.3591898615621695e-05,4.02246339411708e-10,1.8596370039108174e-09
1876,1.3890680617935556e-05,1.3890680617935556e-05,3.984846341786863e-10,2.089628902452694e-09
1877,1.4047524928173516e-05,1.4047524928173516e-05,4.33436306687288e-10,2.080871843882345e-09
1878,1.4023770875480426e-05,1.4023770875480426e-05,4.611402648624363e-10,1.95056224743568e-09
1879,1.4116395894754013e-05,1.4116395894754013e-05,4.779403896458336e-10,1.686738284759467e-09
1880,1.4350420055312238e-05,1.4350420055312238e-05,6.094871234691673e-10,1.8450496289520606e-09
1881,1.4256290731801918e-05,1.4256290731801918e-05,5.615712894702085e-10,1.247804010911275e-09
1882,1.4181323292307621e-05,1.4181323292307621e-05,7.236191883792336e-10,1.1691617277495174e-09
1883,1.4327103989281958e-05,1.4327103989281958e-05,6.407458670785817e-10,1.0676603410887863e-09
1884,1.442632830211161e-05,1.442632830211161e-05,1.03294688873807e-09,1.1281077183511456e-09
1885,1.477488746916476e-05,1.477488746916476e-05,9.531140836888901e-10,1.7230723593973453e-09
1886,1.5279743560573218e-05,1.5279743560573218e-05,8.686360599062328e-10,1.921805690775967e-09
1887,1.561000798184458e-05,1.561000798184458e-05,7.647232946090504e-10,1.9731913166890334e-09
1888,1.5932635376105153e-05,1.5932635376105153e-05,7.871633840782013e-10,2.4364287016480954e-09
1889,1.6334228348569013e-05,1.6334228348569013e-05,7.29799064434568e-10,2.588431556395575e-09
1890,1.69173434707253e-05,1.69173434707253e-05,7.482678167556957e-10,2.940559161247945e-09
1891,1.7531737674809328e-05,1.7531737674809328e-05,4.49140379649953e-10,2.8402904948622775e-09
1892,1.790704014378467e-05,1.790704014378467e-05,5.774181787472038e-10,2.4873572883927456e-09
1893,1.8267239283886738e-05,1.8267239283886738e-05,7.297960152863325e-10,2.4836842899793918e-09
1894,1.8518531630564083e-05,1.8518531630564083e-05,7.684373653266923e-10,2.6768140244064806e-09
1895,1.8793500982740496e-05,1.8793500982740496e-05,7.991165110584778e-10,2.563857649993752e-09
1896,1.8665235204805087e-05,1.8665235204805087e-05,7.331937834642588e-10,2.67617624885982e-09
1897,1.8632239776447284e-05,1.8632239776447284e-05,9.426769682312803e-10,2.9200516132072654e-09
1898,1.8617805575818886e-05,1.8617805575818886e-05,9.409188904209641e-10,2.8054020376596813e-09
1899,1.8938849929587116e-05,1.8938849929587116e-05,9.475429726560743e-10,2.5090137903812806e-09
1900,1.900728576791672e-05,1.900728576791672e-05,9.749057672259198e-10,2.4441298826108746e-09
1901,1.929732856556906e-05,1.929732856556906e-05,1.2170908170183736e-09,2.2079346604998916e-09
1902,1.9843623314435327e-05,1.9843623314435327e-05,1.3045888892980274e-09,2.0958463536097885e-09
1903,2.067462914315651e-05,2.067462914315651e-05,1.3933411963889292e-09,1.9404424733693304e-09
1904,2.1253267342607224e-05,2.1253267342607224e-05,1.1966815911217716e-09,1.7391224016449769e-09
1905,2.1947821161510156e-05,2.1947821161510156e-05,1.1161549977917978e-09,1.969115664175141e-09
1906,2.2222430613640298e-05,2.2222430613640298e-05,1.0608347414794598e-09,2.462896299602692e-09
1907,2.27403621205927e-05,2.27403621205927e-05,1.0603196614373494e-09,2.5209818994247665e-09
1908,2.3309871331938276e-05,2.3309871331938276e-05,8.616549259813208e-10,2.548657380379333e-09
1909,2.371948046077575e-05,2.371948046077575e-05,9.788732245409803e-10,2.855468147647652e-09
1910,2.4276799844561276e-05,2.4276799844561276e-05,1.2783506356647427e-09,3.0390410505581097e-09
1911,2.4784978709898757e-05,2.4784978709898757e-05,1.5783619173553071e-09,3.033051111854336e-09
1912,2.520336446260834e-05,2.520336446260834e-05,1.676762411457438e-09,3.303845451187369e-09
1913,2.585892668451249e-05,2.585892668451249e-05,1.7111366926566722e-09,2.9205321811736393e-09
1914,2.6261579738015177e-05,2.6261579738015177e-05,1.5790493357314972e-09,3.0514069207906604e-09
1915,2.660655549594334e-05,2.660655549594334e-05,1.8517830443646029e-09,3.2803141631581364e-09
1916,2.6799571319965514e-05,2.6799571319965514e-05,1.6978486077385518e-09,3.2397646946133054e-09
1917,2.705090524354351e-05,2.705090524354351e-05,1.3546524457730413e-09,3.2879927510823646e-09
1918,2.742547829776803e-05,2.742547829776803e-05,1.1206483598234586e-09,3.360399054257763e-09
1919,2.7943633540417068e-05,2.7943633540417068e-05,1.0759475056941271e-09,3.337650457600562e-09
1920,2.84769700686281e-05,2.84769700686281e-05,1.1881865174296585e-09,3.76580890280666e-09
1921,2.901161860791035e-05,2.901161860791035e-05,1.2264291328532651e-09,3.932274474292643e-09
1922,2.9553394987098208e-05,2.9553394987098208e-05,9.405049754868904e-10,3.8323209685030085e-09
1923,3.0258558451480765e-05,3.0258558451480765e-05,1.0505726606118466e-09,3.4646803204196885e-09
1924,3.105496034550015e-05,3.105496034550015e-05,1.3819442812312843e-09,3.3526583731458004e-09
1925,3.1730036166014285e-05,3.1730036166014285e-05,1.6436101130905862e-09,3.154156586709129e-09
1926,3.208828638889827e-05,3.208828638889827e-05,1.9797061926293426e-09,3.1131549084660394e-09
1927,3.2539775669907355e-05,3.2539775669907355e-05,2.042825289879805e-09,3.1929897773405205e-09
1928,3.313227924601441e-05,3.313227924601441e-05,2.107552624483081e-09,3.400978007154062e-09
1929,3.388154852603163e-05,3.388154852603163e-05,2.0868048321100373e-09,3.392709700479811e-09
1930,3.4604560953864295e-05,3.4604560953864295e-05,2.0318621309277164e-09,3.4520244757934346e-09
1931,3.503374058969452e-05,3.503374058969452e-05,1.6691621220120213e-09,3.244911054142311e-09
1932,3.519695019349456e-05,3.519695019349456e-05,1.4435768572581713e-09,3.184828512026172e-09
1933,3.5486988573601206e-05,3.5486988573601206e-05,1.4018822412444264e-09,3.0977763687545234e-09
1934,3.5628191004174626e-05,3.5628191004174626e-05,1.3980952070661142e-09,2.775652041542287e-09
1935,3.602496664305883e-05,3.602496664305883e-05,1.5039224905104881e-09,2.421766707806837e-09
1936,3.6017677172951933e-05,3.6017677172951933e-05,1.5327522624135931e-09,2.423701921700732e-09
1937,3.61883124112085e-05,3.61883124112085e-05,1.7461240112545288e-09,2.563479000501039e-09
1938,3.5812762299818655e-05,3.5812762299818655e-05,1.9329327503671477e-09,2.7931407028550635e-09
1939,3.583602301659994e-05,3.583602301659994e-05,2.0163702770962087e-09,2.810651616209319e-09
1940,3.5557137120382064e-05,3.5557137120382064e-05,2.1383938429510506e-09,2.7831677914694606e-09
1941,3.523329723975621e-05,3.523329723975621e-05,2.044472147133547e-09,2.854717510000374e-09
1942,3.428738325185675e-05,3.428738325185675e-05,2.0073480021056055e-09,2.9831558810501845e-09
1943,3.370118637186741e-05,3.370118637186741e-05,2.3102740197091164e-09,3.0562860179169806e-09
1944,3.324685790825502e-05,3.324685790825502e-05,2.096023751388795e-09,2.9419792950997295e-09
1945,3.373780574682834e-05,3.373780574682834e-05,2.063212616627246e-09,2.9228443475050524e-09
1946,3.441130736194152e-05,3.441130736194152e-05,2.21142686702385e-09,3.2362521551476675e-09
1947,3.555208344810775e-05,3.555208344810775e-05,1.92735927218024e-09,3.4858390142643104e-09
1948,3.633929684708294e-05,3.633929684708294e-05,2.117130708840469e-09,3.6469390364755684e-09
1949,3.789515228293437e-05,3.789515228293437e-05,2.234283916610228e-09,3.68627582427093e-09
1950,3.9098679345832874e-05,3.9098679345832874e-05,2.266590106079848e-09,3.967848303888997e-09
1951,4.0112585598503104e-05,4.0112585598503104e-05,2.39130973752769e-09,4.1345420737875264e-09
1952,4.0670532533632855e-05,4.0670532533632855e-05,2.514209031444027e-09,4.3206903451878784e-09
1953,4.123520089446434e-05,4.123520089446434e-05,2.4779069589848338e-09,4.3177141227447785e-09
1954,4.176658486747848e-05,4.176658486747848e-05,2.59449224009651e-09,4.279621165384892e-09
1955,4.272821076613452e-05,4.272821076613452e-05,2.5609427911632565e-09,4.297696991934734e-09
1956,4.333352158677631e-05,4.333352158677631e-05,2.7219892689040695e-09,4.331939442079959e-09
1957,4.43636516657924e-05,4.43636516657924e-05,2.498713236320782e-09,4.2075118627289095e-09
1958,4.51318670197257e-05,4.51318670197257e-05,2.577040041679928e-09,4.375500089232836e-09
1959,4.6245988674594886e-05,4.6245988674594886e-05,2.5639074038455843e-09,4.597063682102284e-09
1960,4.699288755156366e-05,4.699288755156366e-05,2.5948058305199797e-09,4.58397523114432e-09
1961,4.780836544731366e-05,4.780836544731366e-05,2.651623365323985e-09,4.646378837236398e-09
1962,4.813711659932908e-05,4.813711659932908e-05,2.713448323175628e-09,4.631997832912507e-09
1963,4.831962568070074e-05,4.831962568070074e-05,2.41876039831977e-09,4.63918808130919e-09
1964,4.793510691212889e-05,4.793510691212889e-05,2.4899029822072246e-09,4.4666689394797945e-09
1965,4.745080825939242e-05,4.745080825939242e-05,2.440931488680219e-09,4.475397195692819e-09
1966,4.67385387829771e-05,4.67385387829771e-05,2.608320131309532e-09,4.333007857277542e-09
1967,4.61130340616884e-05,4.61130340616884e-05,2.658803209344894e-09,4.341654591399902e-09
1968,4.546498634486592e-05,4.546498634486592e-05,2.6255774697249633e-09,4.354731686362356e-09
1969,4.5295209149896565e-05,4.5295209149896565e-05,2.456208538146955e-09,4.548918384829546e-09
1970,4.485863090459523e-05,4.485863090459523e-05,2.4968715666468758e-09,4.3074307930014905e-09
1971,4.489640455826053e-05,4.489640455826053e-05,2.629777982678304e-09,4.708270471910834e-09
1972,4.5153371632165674e-05,4.5153371632165674e-05,2.5207668333645674e-09,4.59411492974888e-09
1973,4.542805306430507e-05,4.542805306430507e-05,2.6809674480432477e-09,4.710519656876093e-09
1974,4.55502475753227e-05,4.55502475753227e-05,2.6868461741206116e-09,4.7404036886332184e-09
