ngram,muscle,musle,mscle,mscle
1908,1.714786243870289e-05,2.1230182255051388e-09,1.570681818734749e-10,1.570681818734749e-10
1909,1.7197827479062005e-05,2.7260090890950703e-09,1.0541331101660794e-10,1.0541331101660794e-10
1910,1.703796143764131e-05,2.722460935260835e-09,1.1918720078345808e-10,1.1918720078345808e-10
1911,1.7078662624823793e-05,2.924626675758292e-09,1.3316513269063483e-10,1.3316513269063483e-10
1912,1.710743929704352e-05,2.7333367712069544e-09,1.1708551588591424e-10,1.1708551588591424e-10
1913,1.7271609067393e-05,2.303478542829497e-09,9.913639552129792e-11,9.913639552129792e-11
1914,1.731905324829443e-05,2.1712564682704485e-09,1.429521798553982e-10,1.429521798553982e-10
1915,1.7705593044021433e-05,1.7564308658306921e-09,1.9298261599853817e-10,1.9298261599853817e-10
1916,1.7545969967613928e-05,1.2092014611830848e-09,1.9298261599853817e-10,1.9298261599853817e-10
1917,1.7687637020052144e-05,1.2667910054275922e-09,2.0714019487761652e-10,2.0714019487761652e-10
1918,1.790534848363937e-05,1.2888151022595805e-09,2.5068321922251865e-10,2.5068321922251865e-10
1919,1.7976392233062404e-05,1.4003774647822605e-09,2.3626911141835395e-10,2.3626911141835395e-10
1920,1.730418586833236e-05,1.5733177142048964e-09,2.540765831853571e-10,2.540765831853571e-10
1921,1.6538947810269227e-05,1.5812059756774894e-09,2.2372223319942564e-10,2.2372223319942564e-10
1922,1.579455316199788e-05,1.8647546522793893e-09,1.5996734294341864e-10,1.5996734294341864e-10
1923,1.587322991066945e-05,2.022330255638646e-09,2.3362767474578913e-10,2.3362767474578913e-10
1924,1.5325078103549978e-05,2.0361479486601705e-09,2.789607989051035e-10,2.789607989051035e-10
1925,1.4854255823593121e-05,1.9325845527059673e-09,2.214398426530246e-10,2.214398426530246e-10
1926,1.4302565172589052e-05,2.066571485365947e-09,2.443628057838662e-10,2.443628057838662e-10
1927,1.4657271874187114e-05,2.015072125034172e-09,2.661746279735462e-10,2.661746279735462e-10
1928,1.5050024818005373e-05,2.120116320598291e-09,2.6087250613672705e-10,2.6087250613672705e-10
1929,1.5376317086130647e-05,1.989957072139654e-09,2.6087250613672705e-10,2.6087250613672705e-10
1930,1.543215798197447e-05,1.8122471459999394e-09,2.4166696025293023e-10,2.4166696025293023e-10
1931,1.5780276044097263e-05,1.984137029279306e-09,1.9463537725972202e-10,1.9463537725972202e-10
1932,1.5532243066575446e-05,1.894668612477192e-09,2.1827862335082367e-10,2.1827862335082367e-10
1933,1.569667685024407e-05,1.6671483558740518e-09,1.9535566021998208e-10,1.9535566021998208e-10
1934,1.586001352344673e-05,1.8214479289925733e-09,1.496084030470714e-10,1.496084030470714e-10
1935,1.6181103092094418e-05,1.747735083641138e-09,1.267989166045932e-10,1.267989166045932e-10
1936,1.640690866874398e-05,1.6912063337061666e-09,1.6867378129146815e-10,1.6867378129146815e-10
1937,1.6671629834620815e-05,1.6577115077457245e-09,1.8154625025523785e-10,1.8154625025523785e-10
1938,1.6608732559169376e-05,1.6384853949803967e-09,2.640744944144251e-10,2.640744944144251e-10
1939,1.7280910729563663e-05,1.6683825352993763e-09,3.1511332630542096e-10,3.1511332630542096e-10
1940,1.746081657724322e-05,1.6609719869339505e-09,3.4090658867264827e-10,3.4090658867264827e-10
