ngram,string,strng,strng,strng
1562,1.4435834990373614e-05,0.0,0.0,0.0
1563,1.6708943413894823e-05,0.0,0.0,0.0
1564,1.6708943413894823e-05,0.0,0.0,0.0
1565,1.703869539986564e-05,0.0,0.0,0.0
1566,3.284909066029026e-06,0.0,0.0,0.0
1567,3.284909066029026e-06,0.0,0.0,0.0
1568,3.284909066029026e-06,0.0,0.0,0.0
1569,3.284909066029026e-06,0.0,0.0,0.0
1570,1.011800642507816e-06,0.0,0.0,0.0
1571,1.011800642507816e-06,0.0,0.0,0.0
1572,0.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0
1576,9.013608957632511e-07,0.0,0.0,0.0
1577,9.013608957632511e-07,0.0,0.0,0.0
1578,9.013608957632511e-07,0.0,0.0,0.0
1579,1.5481157009032489e-06,0.0,0.0,0.0
1580,1.5481157009032489e-06,0.0,0.0,0.0
1581,2.1414230754349513e-06,0.0,0.0,0.0
1582,2.979385824021717e-06,0.0,0.0,0.0
1583,2.078024928258466e-06,0.0,0.0,0.0
1584,2.977136513696418e-06,0.0,0.0,0.0
1585,4.2981631460341826e-06,0.0,0.0,0.0
1586,3.651408340894185e-06,0.0,0.0,0.0
1587,5.727885698953676e-06,0.0,0.0,0.0
1588,5.1345783244219745e-06,0.0,0.0,0.0
1589,5.977153900208318e-06,0.0,0.0,0.0
1590,6.757080817416343e-06,0.0,0.0,0.0
1591,6.124502695976324e-06,0.0,0.0,0.0
1592,4.8034760636385594e-06,0.0,0.0,0.0
1593,4.8034760636385594e-06,0.0,0.0,0.0
1594,6.4148934403159985e-06,0.0,0.0,0.0
1595,8.21808180262451e-06,0.0,0.0,0.0
1596,6.74796170382511e-06,0.0,0.0,0.0
1597,6.573345217475435e-06,0.0,0.0,0.0
1598,6.306811753477502e-06,0.0,0.0,0.0
1599,6.778456346572577e-06,0.0,0.0,0.0
1600,7.310986770140257e-06,0.0,0.0,0.0
1601,4.7950352057211735e-06,0.0,0.0,0.0
1602,3.7226518868140246e-06,0.0,0.0,0.0
1603,3.512233661240316e-06,0.0,0.0,0.0
1604,3.2474638698788894e-06,0.0,0.0,0.0
1605,4.596706535916642e-06,0.0,0.0,0.0
1606,5.326263557695451e-06,0.0,0.0,0.0
1607,5.54023020933008e-06,0.0,0.0,0.0
1608,4.96731981261941e-06,0.0,0.0,0.0
1609,4.802536718021397e-06,0.0,0.0,0.0
1610,4.929984982027236e-06,0.0,0.0,0.0
1611,4.589444342530312e-06,0.0,0.0,0.0
1612,3.5092024047246795e-06,0.0,0.0,0.0
1613,2.7874322167268214e-06,0.0,0.0,0.0
1614,3.02976441649402e-06,0.0,0.0,0.0
1615,2.8116748954484398e-06,0.0,0.0,0.0
1616,2.2456529466450903e-06,0.0,0.0,0.0
1617,2.4888286783867182e-06,0.0,0.0,0.0
1618,2.9812143631196316e-06,0.0,0.0,0.0
