ngram,red,rd,redd
1881,0.00010399817048372435,2.2201191995918634e-06,1.1765821637612004e-07
1882,0.00010375719804350021,2.1754071082926074e-06,1.1487589546277377e-07
1883,0.00010256576102360018,2.1794126853689832e-06,1.1103264187438202e-07
1884,0.00010188149878688688,2.0614801314877695e-06,1.1598550539052407e-07
1885,0.00010112475138157606,2.073992667257179e-06,1.204533372093205e-07
1886,0.0001010276547666373,1.9174958814411573e-06,1.1896423858713336e-07
1887,0.00010009308191781332,1.8468881210407874e-06,1.0732578914485202e-07
1888,9.985452093782701e-05,1.828865492825571e-06,1.0340150627793524e-07
1889,9.928690997185186e-05,1.83075845987852e-06,1.0686506714461887e-07
1890,9.995261539838143e-05,1.8425108042460385e-06,1.0793454054334819e-07
1891,0.00010026273542150323,1.8170574256665922e-06,1.0875342074509068e-07
1892,0.00010082465139151151,1.7921078097060672e-06,1.1360855113805104e-07
1893,0.00010116627735052524,1.8325214341530227e-06,1.2038705169256252e-07
1894,0.00010087772638403944,1.8430810736650268e-06,1.19277993958024e-07
1895,0.00010076107303445627,1.8920911933102097e-06,1.1899349061650355e-07
