ngram,fun,fn,funn,fuun
1860,5.830534714082855e-06,4.539783365739173e-07,6.968972066090373e-09,9.11438737974787e-10
1861,5.91347861700342e-06,4.6188469582375546e-07,7.103261407641932e-09,9.739102381699028e-10
1862,6.050327296439459e-06,4.795173132216795e-07,7.177241467815065e-09,1.1442815742565164e-09
1863,6.119557578391063e-06,4.757126573297553e-07,7.181839059963327e-09,9.415645009701124e-10
1864,6.168261994129612e-06,4.663372530038552e-07,8.33843502182471e-09,9.384471850409121e-10
1865,6.290195090384389e-06,4.6531888691398695e-07,8.053423134717669e-09,9.384471850409121e-10
1866,6.4874705978062205e-06,4.6528333541573375e-07,8.146133482053334e-09,8.608280279074978e-10
1867,6.601579960780717e-06,4.581607575866136e-07,8.092965599258508e-09,7.464845646382961e-10
1868,6.7539981500885915e-06,4.5861809537330244e-07,7.70545738326689e-09,6.335112038132909e-10
1869,6.885773148366882e-06,4.5198787493713357e-07,6.978139494811282e-09,5.293957732505866e-10
1870,7.006649931489457e-06,4.6265697457264263e-07,6.978316242316802e-09,4.761564713946192e-10
1871,7.074735094647622e-06,4.6346186520297904e-07,5.508252742814079e-09,4.971753564397829e-10
1872,7.162468851415074e-06,4.644480457370394e-07,5.862097632710775e-09,4.971753564397829e-10
1873,7.063476004987024e-06,4.6346233619130673e-07,5.79648903479121e-09,5.699619982329246e-10
1874,7.057188083438502e-06,4.5966802580161517e-07,5.14638201895171e-09,5.992874847165248e-10
1875,7.027160206364767e-06,4.455296748671701e-07,5.705837453311753e-09,7.196325757519162e-10
1876,7.0954474722384475e-06,4.409766794261876e-07,5.956606699949621e-09,6.775388900719698e-10
1877,7.099087789746201e-06,4.3946204592819935e-07,5.976912234980805e-09,8.450124568325026e-10
1878,7.127829706275536e-06,4.393424514351604e-07,6.089687801643809e-09,7.915642903049453e-10
1879,7.168419675248775e-06,4.4471210815442775e-07,5.787009284473145e-09,8.96305728050249e-10
1880,7.226965213443951e-06,4.6307250808500354e-07,6.381952807491384e-09,7.792794663531919e-10
1881,7.279040346475085e-06,4.6774102965433227e-07,7.222644133569085e-09,7.781445805170912e-10
1882,7.290343806484348e-06,4.783256031259953e-07,7.2321707987401035e-09,7.550282224829833e-10
1883,7.17499707596809e-06,4.738533862434581e-07,7.358755382824711e-09,7.426095095995424e-10
1884,7.171896088818487e-06,4.59512660557136e-07,7.308183645550668e-09,5.939212970635615e-10
1885,7.1986192519294235e-06,4.5804328660129355e-07,7.387866128384855e-09,5.431117698430552e-10
1886,7.100381805815102e-06,4.5306050619079284e-07,7.191797950818162e-09,4.935475639289422e-10
1887,6.990812315572319e-06,4.4362549747997295e-07,6.744859464597701e-09,5.488155009812447e-10
1888,6.9688622456201955e-06,4.448186002394193e-07,6.899698019274021e-09,4.1799037049055395e-10
1889,6.999194608527302e-06,4.451965927338668e-07,6.660195696537942e-09,5.039579051687884e-10
1890,6.999193374213064e-06,4.5109175061952556e-07,6.613988594900937e-09,5.661910959916686e-10
1891,7.0068445633556365e-06,4.47673037180201e-07,6.467888700813416e-09,5.819844388156779e-10
1892,6.9571373647444745e-06,4.4295937787605257e-07,6.5475485350979005e-09,5.688810474278685e-10
1893,7.008445209066849e-06,4.381711318858704e-07,6.494079179170902e-09,5.828888383867842e-10
1894,7.052131098004923e-06,4.418171743379519e-07,6.697754224254433e-09,5.938962199009928e-10
1895,7.1040433015566255e-06,4.339521483741139e-07,5.736046431487856e-09,5.880645851227431e-10
1896,7.257108076633553e-06,4.242815155716276e-07,5.584674119977048e-09,4.43629169114398e-10
1897,7.37618328067973e-06,4.1990173826889077e-07,5.368088196178178e-09,3.728809879913594e-10
1898,7.341010002294622e-06,4.1946486817323603e-07,4.843146011219395e-09,3.321421669445966e-10
1899,7.334587670421959e-06,4.201232448914587e-07,4.796078645341595e-09,3.236268158219551e-10
1900,7.2852876655815635e-06,4.3009753929774366e-07,4.893140242196685e-09,2.9058300210493826e-10
1901,7.276255213842628e-06,4.093688882481469e-07,4.390607115973515e-09,2.5858105735996975e-10
1902,7.157746235212212e-06,4.107574511635903e-07,4.322267876943897e-09,2.71846430287072e-10
1903,6.885098368262074e-06,4.094325285158058e-07,4.410299173481949e-09,2.6496386830641786e-10
1904,6.701278640061251e-06,4.1634032348676034e-07,4.217148154493446e-09,2.0923360266600355e-10
1905,6.6123560437907666e-06,4.15724136766065e-07,4.323454895681169e-09,1.8840412860773474e-10
1906,6.583538769128998e-06,4.097764149589368e-07,4.1008167972478304e-09,1.830062877033229e-10
1907,6.517085824140979e-06,4.0644445269728227e-07,4.006981635384932e-09,2.054657743547469e-10
1908,6.398050053186515e-06,4.1530361727382115e-07,3.9150779443783026e-09,2.123657628718055e-10
1909,6.398896857717773e-06,4.0816211058622033e-07,3.91530113092691e-09,1.917101913725564e-10
1910,6.397215461869824e-06,4.0224200656017016e-07,3.741717094892952e-09,1.87379681215738e-10
1911,6.4069798619519654e-06,3.857650645906168e-07,3.78328838098899e-09,2.0135761312291478e-10
1912,6.407024362228445e-06,3.749963549840426e-07,3.7269792648889475e-09,2.149389664268015e-10
1913,6.367537805220179e-06,3.7450674231617344e-07,3.733054151514434e-09,1.8390899418431672e-10
1914,6.349172768490721e-06,3.6457285952045435e-07,3.775623591550925e-09,1.5454127759241742e-10
1915,6.362607824225311e-06,3.5617079317619626e-07,3.804867944521919e-09,1.1336791525381632e-10
1916,6.350797450847624e-06,3.60862145498686e-07,4.12028135419819e-09,1.1463876871596414e-10
1917,6.420202615637598e-06,3.7592436845963153e-07,4.3366738137048546e-09,1.0105672350522811e-10
1918,6.469380033584977e-06,3.881198316386352e-07,4.466601088992661e-09,8.707879159805135e-11
1919,6.605332211100696e-06,3.979557407417035e-07,4.644816594837461e-09,5.825057598972196e-11
1920,6.757848365980733e-06,4.088670867271763e-07,4.683161921751175e-09,5.825057598972196e-11
1921,6.897790042005779e-06,4.2538190265466777e-07,4.449336772032504e-09,5.7129205136404895e-11
1922,7.1211050323784415e-06,4.314399453570721e-07,4.399145111680777e-09,5.7129205136404895e-11
1923,7.290153852019492e-06,4.4574626453400666e-07,4.264339421260794e-09,6.663078719723207e-11
1924,7.44378296855887e-06,4.380587930492246e-07,4.064939083749306e-09,7.708658314850173e-11
1925,7.601891151612758e-06,4.407592614695334e-07,3.808916325200227e-09,7.708658314850173e-11
1926,7.724183953022085e-06,4.6537413871711966e-07,3.5735538655196866e-09,7.708658314850173e-11
1927,7.83395989856217e-06,4.6749320858907595e-07,3.309533440949102e-09,7.708658314850173e-11
1928,7.930188985483255e-06,4.67404074048058e-07,3.582748161637791e-09,9.459394775416082e-11
1929,7.992450004426896e-06,4.620310392056126e-07,3.45712693393198e-09,1.7045133955078436e-10
1930,8.033376356511976e-06,4.6826366834855957e-07,3.0936852127691085e-09,1.458978949558138e-10
1931,8.178775065711566e-06,4.686021303054336e-07,2.921862212496811e-09,1.214763646815799e-10
1932,8.38307460071519e-06,4.6020366133754056e-07,2.8144931781984692e-09,1.214763646815799e-10
1933,8.60433049508304e-06,4.376239246539626e-07,3.166151880356389e-09,1.4464352334922888e-10
1934,8.810598566404743e-06,4.502470898972076e-07,3.3632231920068178e-09,1.4464352334922888e-10
1935,9.060181712681827e-06,5.017924016621172e-07,3.0801148932977996e-09,9.902455046427252e-11
1936,9.245055870061541e-06,5.143665191553737e-07,3.2993167563079494e-09,2.316715866764899e-11
1937,9.622468756528438e-06,5.217187931196219e-07,3.560875848153598e-09,4.560957564006937e-11
1938,9.771926670509856e-06,5.466217081513085e-07,3.741900725781225e-09,1.1086632802280251e-10
1939,9.97686025324843e-06,6.098229781465696e-07,4.030744341473483e-09,1.6065437868917343e-10
1940,1.0012794129059849e-05,6.285693164695008e-07,3.6505009491451445e-09,1.6328048238875174e-10
1941,1.0200340251945558e-05,6.372667249771829e-07,4.234857575724504e-09,1.9085905276851533e-10
1942,1.0249594327303515e-05,6.088666972508301e-07,4.551817462632763e-09,2.406751444964225e-10
1943,1.0424987522128504e-05,6.209146801795993e-07,4.546356814825816e-09,2.6212846972382767e-10
1944,1.0446796685365761e-05,6.080204002500977e-07,4.725177963190877e-09,2.77628697809007e-10
1945,1.0504494119751534e-05,6.066379439419376e-07,4.503434672794729e-09,2.3114136596788119e-10
1946,1.0359271072957199e-05,5.714809390156006e-07,4.377670924173214e-09,1.9790141945831762e-10
1947,1.0402219881403393e-05,5.842612072878442e-07,4.480160559998987e-09,1.8866513311938908e-10
1948,1.0325867151550483e-05,5.76521910846038e-07,3.950703446926289e-09,1.610865627396255e-10
1949,1.0375809324614238e-05,5.734692812049096e-07,3.9584326927410984e-09,1.2827663336307486e-10
1950,1.0340283552068286e-05,5.951387070776296e-07,4.279271540294108e-09,1.068233081356697e-10
1951,1.0368585727909313e-05,6.376941590653067e-07,4.068961136281603e-09,6.888066307806997e-11
1952,1.0374644002045638e-05,6.630903856473327e-07,4.44306020546443e-09,6.579519171553575e-11
1953,1.0502631084818859e-05,8.147887342602189e-07,4.545384671824795e-09,6.493632417495628e-11
1954,1.052502687213876e-05,8.512110493289324e-07,4.923714800954469e-09,6.28953040442732e-11
1955,1.0478899379709869e-05,9.408982058240716e-07,4.804990595884208e-09,9.188380810178285e-11
1956,1.035653713188367e-05,9.567650148970382e-07,4.85201640770023e-09,1.287496676732098e-10
1957,1.0243112878275237e-05,9.741521418098792e-07,4.47378918038461e-09,1.6698084383458068e-10
1958,9.993251296691597e-06,1.0236928054447553e-06,4.7535409894042655e-09,1.9078445965904833e-10
1959,9.795245465024241e-06,1.0506783252951988e-06,4.700297865209027e-09,1.9768838847657377e-10
1960,9.528879542943156e-06,9.730007215174347e-07,4.8499733752903145e-09,1.8199915186034588e-10
1961,9.204311416916816e-06,9.85680222649015e-07,4.469526241176627e-09,1.7873876486028196e-10
1962,8.90199381891372e-06,9.750383225894308e-07,4.557162805848439e-09,1.7015377301587975e-10
1963,8.741792823587144e-06,1.0129301131200918e-06,4.453833460768156e-09,1.26185607597838e-10
1964,8.517679946505399e-06,1.0436014170928892e-06,4.353260799458017e-09,1.419142918259096e-10
1965,8.457604963041376e-06,1.0333461172454657e-06,3.949431607149936e-09,1.3574083920378906e-10
1966,8.40707967394597e-06,1.0772638136456538e-06,3.97015915381311e-09,1.2194603263690088e-10
1967,8.45460233124738e-06,1.0946051978472887e-06,3.704749618194114e-09,1.4848006950935703e-10
1968,8.512755162623112e-06,1.1199872135745994e-06,3.703811448017648e-09,1.5493758359630405e-10
1969,8.64632316474204e-06,1.1339555255420107e-06,3.733142398384562e-09,3.0509490667978463e-10
1970,8.695872046311187e-06,1.1831933761641267e-06,3.5564444405317933e-09,3.478081037463657e-10
1971,8.799485060860337e-06,1.2577166411834436e-06,3.6257615322808435e-09,3.654554476500189e-10
1972,8.774890375207178e-06,1.2893685509750088e-06,3.907207922283971e-09,3.565207296052364e-10
1973,8.770399680153268e-06,1.2934407972612201e-06,3.7110349396637534e-09,3.8074404541875243e-10
1974,8.73029148351634e-06,1.2976166934614802e-06,3.7257583367684384e-09,3.6235751155585684e-10
1975,8.819471726643055e-06,1.3334300774658914e-06,3.87343071902738e-09,3.7708242926957705e-10
1976,8.813331468055757e-06,1.3569782270548915e-06,3.7858832894041174e-09,2.1455802511655923e-10
1977,8.841760973155033e-06,1.3632976723394158e-06,3.739958850549183e-09,2.0207302795346597e-10
1978,8.898249169370892e-06,1.3649720033624492e-06,3.6909185866359653e-09,1.712654651034714e-10
1979,9.061924694313867e-06,1.37339610059176e-06,3.483512779821142e-09,1.8695312262570089e-10
1980,9.282833681416897e-06,1.3847427453583805e-06,3.602043108230646e-09,2.1663135471980003e-10
1981,9.568754129369544e-06,1.4421259818066443e-06,3.6422375591728594e-09,2.6952224033942914e-10
