ngram,food,fod,fod,foodd
1922,0.000114497375242146,1.8773564290443445e-08,1.8773564290443445e-08,1.659152111334526e-10
1923,0.00011058433405456267,1.860499538557698e-08,1.860499538557698e-08,1.5086334859930924e-10
1924,0.00010921896318905056,1.9548490826082343e-08,1.9548490826082343e-08,1.613191445505789e-10
1925,0.00010862111646149839,1.9519377606310887e-08,1.9519377606310887e-08,1.613191445505789e-10
1926,0.00010871666121862031,1.939766594968465e-08,1.939766594968465e-08,1.787535774162257e-10
1927,0.00010862507977955309,1.938801271908882e-08,1.938801271908882e-08,1.787535774162257e-10
1928,0.00010827084770426154,2.107341907325073e-08,2.107341907325073e-08,9.441875257833386e-11
1929,0.00010937044758715533,2.1476031365961845e-08,2.1476031365961845e-08,7.026745653591706e-11
1930,0.000110134353495336,2.3016302007152134e-08,2.3016302007152134e-08,7.026745653591706e-11
1931,0.00011019602659091885,2.4538150812856785e-08,2.4538150812856785e-08,4.584592626168314e-11
1932,0.0001108275682781823,2.7729247215851112e-08,2.7729247215851112e-08,4.584592626168314e-11
1933,0.00011149276750594643,3.0071603619928414e-08,3.0071603619928414e-08,2.316715866764899e-11
1934,0.00011231162768256451,3.31619072519678e-08,3.31619072519678e-08,2.316715866764899e-11
1935,0.00011311646085232496,3.429371402725272e-08,3.429371402725272e-08,2.316715866764899e-11
1936,0.00011451108314629112,3.750779598021836e-08,3.750779598021836e-08,2.316715866764899e-11
1937,0.00011643639403960801,3.922077342264986e-08,3.922077342264986e-08,2.316715866764899e-11
1938,0.00012003513672555397,3.920432486584754e-08,3.920432486584754e-08,4.491940946189337e-11
1939,0.00012642574334417338,3.8561040582862915e-08,3.8561040582862915e-08,6.981343479507883e-11
1940,0.00013732054607576823,3.829980041051126e-08,3.829980041051126e-08,7.243953849465714e-11
1941,0.00014462605862978047,3.869091003139147e-08,3.869091003139147e-08,2.103323943585573e-10
1942,0.00015008627087809145,3.970056892756345e-08,3.970056892756345e-08,2.3524044022251086e-10
1943,0.000153969632395144,3.8366501594769686e-08,3.8366501594769686e-08,2.3524044022251086e-10
1944,0.00015647644301809902,3.6675300764597655e-08,3.6675300764597655e-08,2.5421176275131074e-10
1945,0.0001571569363087682,3.5232507197438933e-08,3.5232507197438933e-08,2.512289324986737e-10
1946,0.0001536084829630064,3.3960189834861665e-08,3.3960189834861665e-08,2.428830113222956e-10
1947,0.00014468120311253836,3.41412295260365e-08,3.41412295260365e-08,2.502037010116658e-10
1948,0.00013982421452445642,3.20124724189392e-08,3.20124724189392e-08,1.6361084511005786e-10
1949,0.0001350202104991435,3.151121294056988e-08,3.151121294056988e-08,1.897212863001739e-10
1950,0.00013100907692985077,2.9492290006974794e-08,2.9492290006974794e-08,1.897212863001739e-10
1951,0.00012726375072296442,3.4154191348128345e-08,3.4154191348128345e-08,1.70749963771374e-10
1952,0.00012370140133758208,3.35460969478975e-08,3.35460969478975e-08,1.833484415879129e-10
1953,0.00012147223502064921,3.2124796790965e-08,3.2124796790965e-08,1.8248957404733345e-10
1954,0.00011970737354464031,3.050408027758879e-08,3.050408027758879e-08,1.493756219907359e-10
1955,0.00011739460751414299,2.916848248649525e-08,2.916848248649525e-08,1.125698740571985e-10
1956,0.00011638921257274757,2.7018980576696905e-08,2.7018980576696905e-08,6.155138700312892e-11
1957,0.00011527208386853869,2.6218000469059788e-08,2.6218000469059788e-08,9.97825631644998e-11
1958,0.00011592587543418631,1.9850466667240393e-08,1.9850466667240393e-08,1.3548798590993068e-10
1959,0.00011529522557144187,1.9271735445564834e-08,1.9271735445564834e-08,1.3800190553795285e-10
1960,0.00011512409400893375,1.9491585234732156e-08,1.9491585234732156e-08,1.752519726561097e-10
1961,0.00011520429792913742,1.8874437504986678e-08,1.8874437504986678e-08,2.090186803400356e-10
1962,0.000114669327948442,1.8462640939885333e-08,1.8462640939885333e-08,2.2512969663094192e-10
1963,0.00011545779852895066,1.8955337109462433e-08,1.8955337109462433e-08,2.5484126713643766e-10
1964,0.00011616157696283023,2.0783310818371448e-08,2.0783310818371448e-08,2.2560340103997386e-10
1965,0.00011578504511687373,2.135416313616848e-08,2.135416313616848e-08,1.8989797829454298e-10
1966,0.00011721076693252794,2.2111558806159337e-08,2.2111558806159337e-08,1.9118844602721603e-10
1967,0.00011728517087509058,2.3327846575073507e-08,2.3327846575073507e-08,1.6478317916528747e-10
1968,0.00011806274414993823,2.5714602003290565e-08,2.5714602003290565e-08,1.3987301297361095e-10
1969,0.00011938497482333332,2.9857261805789544e-08,2.9857261805789544e-08,1.1824463035698633e-10
1970,0.00012137392228136637,3.80772645160375e-08,3.80772645160375e-08,1.411501134228134e-10
1971,0.00012531817213000198,4.24599875259446e-08,4.24599875259446e-08,1.3215680335790633e-10
1972,0.00012943733703910505,4.8420087748825476e-08,4.8420087748825476e-08,1.5824313883060015e-10
1973,0.0001322837727327299,5.312019725676821e-08,5.312019725676821e-08,1.4783314453544908e-10
1974,0.00013661428238265216,6.205013848768561e-08,6.205013848768561e-08,1.4574161718731e-10
1975,0.00013917874665431946,6.738527450319712e-08,6.738527450319712e-08,1.531040760441701e-10
1976,0.00014209427588087107,6.971804720836059e-08,6.971804720836059e-08,1.762729149154144e-10
1977,0.00014221824572554657,6.561102087029472e-08,6.561102087029472e-08,1.6378791775232112e-10
1978,0.00014095376536715776,6.748809511236686e-08,6.748809511236686e-08,1.8826770301469002e-10
1979,0.0001388855349172705,6.800372481003641e-08,6.800372481003641e-08,2.1094757290158432e-10
1980,0.0001369478496988969,6.929056744248945e-08,6.929056744248945e-08,2.096957647206616e-10
1981,0.00013526561087928712,6.467309024823667e-08,6.467309024823667e-08,2.2340224709831753e-10
1982,0.0001343162584817037,6.074565155651207e-08,6.074565155651207e-08,2.4424072288452084e-10
1983,0.00013293245241844228,5.932352158717029e-08,5.932352158717029e-08,2.4170502107726376e-10
1984,0.00013209395027453347,6.637156652849236e-08,6.637156652849236e-08,2.456765267412818e-10
1985,0.00013134130027278194,5.913439287447935e-08,5.913439287447935e-08,2.646011921474718e-10
1986,0.000131025945717868,5.422852008710574e-08,5.422852008710574e-08,2.365606520195383e-10
1987,0.0001319242375237601,4.97484963700247e-08,4.97484963700247e-08,2.531749730496001e-10
1988,0.00013150732099477733,4.555910315673373e-08,4.555910315673373e-08,2.9127149105333064e-10
1989,0.0001314599087761183,4.444884460497178e-08,4.444884460497178e-08,2.7417004975850897e-10
1990,0.00013094177951903215,4.02012310425042e-08,4.02012310425042e-08,2.6453241383109626e-10
1991,0.0001309777788784621,2.836236464734806e-08,2.836236464734806e-08,2.598444614238764e-10
1992,0.0001305985892291314,2.7794113931024966e-08,2.7794113931024966e-08,2.9915050793670264e-10
