ngram,discipline,dicipline,discpline,discipine
1600,2.0591785609472675e-05,0.0,0.0,0.0
1601,2.0979477475131197e-05,0.0,0.0,0.0
1602,2.223710414130307e-05,0.0,0.0,0.0
1603,2.3464708127513794e-05,0.0,0.0,0.0
1604,2.155819428090971e-05,0.0,0.0,0.0
1605,1.5208991499093827e-05,0.0,0.0,0.0
1606,1.7072923973111237e-05,0.0,0.0,0.0
1607,1.622373864457976e-05,0.0,0.0,0.0
1608,1.708340135207566e-05,0.0,0.0,0.0
1609,2.8435257913120688e-05,0.0,0.0,0.0
1610,2.9845575746938785e-05,0.0,0.0,0.0
1611,3.063407101373221e-05,0.0,0.0,0.0
1612,3.665604591723033e-05,0.0,0.0,0.0
1613,3.6329780024451406e-05,0.0,0.0,0.0
1614,3.6397557128761294e-05,0.0,0.0,0.0
1615,3.3946190082393256e-05,0.0,0.0,0.0
1616,2.1426013647994425e-05,0.0,0.0,0.0
1617,2.1826412713770488e-05,0.0,0.0,0.0
1618,2.095595768228772e-05,0.0,0.0,0.0
1619,1.4261020883818024e-05,0.0,0.0,0.0
1620,1.265237083966245e-05,0.0,0.0,0.0
