ngram,nail,naill,naill,naill
1954,4.101643558637339e-06,3.111318940580381e-09,3.111318940580381e-09,3.111318940580381e-09
1955,4.0453456741878265e-06,3.110178701883269e-09,3.110178701883269e-09,3.110178701883269e-09
1956,3.938448052005177e-06,3.0202404862781205e-09,3.0202404862781205e-09,3.0202404862781205e-09
1957,3.88206308343797e-06,2.881349365451464e-09,2.881349365451464e-09,2.881349365451464e-09
1958,3.794577781133869e-06,2.7997382031788985e-09,2.7997382031788985e-09,2.7997382031788985e-09
1959,3.721757463738738e-06,2.668675708988084e-09,2.668675708988084e-09,2.668675708988084e-09
1960,3.619865343093157e-06,2.7980406880345754e-09,2.7980406880345754e-09,2.7980406880345754e-09
1961,3.5353794568696425e-06,1.5425245049525772e-09,1.5425245049525772e-09,1.5425245049525772e-09
1962,3.468787456638113e-06,1.7471174189915522e-09,1.7471174189915522e-09,1.7471174189915522e-09
1963,3.414098825617527e-06,1.698007916812421e-09,1.698007916812421e-09,1.698007916812421e-09
1964,3.3425712899770588e-06,1.7211990007862506e-09,1.7211990007862506e-09,1.7211990007862506e-09
1965,3.3312972261358354e-06,1.7220602325071103e-09,1.7220602325071103e-09,1.7220602325071103e-09
1966,3.2850484785740264e-06,1.4976320739101823e-09,1.4976320739101823e-09,1.4976320739101823e-09
1967,3.277741403248261e-06,1.3745791885685525e-09,1.3745791885685525e-09,1.3745791885685525e-09
1968,3.236571176655291e-06,1.2557463085245096e-09,1.2557463085245096e-09,1.2557463085245096e-09
1969,3.256597372975583e-06,1.2638846239429062e-09,1.2638846239429062e-09,1.2638846239429062e-09
1970,3.2279289955892765e-06,1.3051582037348908e-09,1.3051582037348908e-09,1.3051582037348908e-09
1971,3.268831213582806e-06,1.2684640005033998e-09,1.2684640005033998e-09,1.2684640005033998e-09
1972,3.24860015358094e-06,1.2140182351469013e-09,1.2140182351469013e-09,1.2140182351469013e-09
1973,3.2819977085247435e-06,1.086603434214644e-09,1.086603434214644e-09,1.086603434214644e-09
1974,3.2971231251264854e-06,1.022380545302935e-09,1.022380545302935e-09,1.022380545302935e-09
1975,3.377620942046633e-06,9.647590504258119e-10,9.647590504258119e-10,9.647590504258119e-10
1976,3.3771534942518755e-06,7.630780927771395e-10,7.630780927771395e-10,7.630780927771395e-10
1977,3.4371691007046527e-06,7.431621112148029e-10,7.431621112148029e-10,7.431621112148029e-10
1978,3.4345245824494796e-06,7.623552979372863e-10,7.623552979372863e-10,7.623552979372863e-10
1979,3.4663197376565743e-06,7.874854340046105e-10,7.874854340046105e-10,7.874854340046105e-10
1980,3.4669134103231566e-06,8.860260303222844e-10,8.860260303222844e-10,8.860260303222844e-10
1981,3.4633440334021415e-06,8.472235690781815e-10,8.472235690781815e-10,8.472235690781815e-10
1982,3.4731000856221987e-06,9.171504904743293e-10,9.171504904743293e-10,9.171504904743293e-10
1983,3.5151609998657866e-06,8.860680205431087e-10,8.860680205431087e-10,8.860680205431087e-10
1984,3.5443286573614126e-06,8.685801681071073e-10,8.685801681071073e-10,8.685801681071073e-10
1985,3.5808722844064633e-06,7.478601944071223e-10,7.478601944071223e-10,7.478601944071223e-10
1986,3.5857158634046627e-06,6.925919361831592e-10,6.925919361831592e-10,6.925919361831592e-10
1987,3.6648841289986322e-06,6.550804502022548e-10,6.550804502022548e-10,6.550804502022548e-10
1988,3.7346533515249447e-06,6.536311888564025e-10,6.536311888564025e-10,6.536311888564025e-10
1989,3.7652574259742063e-06,6.547834814034965e-10,6.547834814034965e-10,6.547834814034965e-10
1990,3.789988113567233e-06,6.865327750738004e-10,6.865327750738004e-10,6.865327750738004e-10
1991,3.825300804497342e-06,6.49317151633712e-10,6.49317151633712e-10,6.49317151633712e-10
1992,3.874975131371425e-06,7.259255537953432e-10,7.259255537953432e-10,7.259255537953432e-10
1993,3.956902284179316e-06,7.009951270247378e-10,7.009951270247378e-10,7.009951270247378e-10
1994,4.051318488304137e-06,6.519708027420888e-10,6.519708027420888e-10,6.519708027420888e-10
1995,4.1428027413660724e-06,7.279278925663237e-10,7.279278925663237e-10,7.279278925663237e-10
1996,4.233598766794395e-06,7.090243075198138e-10,7.090243075198138e-10,7.090243075198138e-10
1997,4.3702706794387524e-06,7.166504611966218e-10,7.166504611966218e-10,7.166504611966218e-10
1998,4.499967547287399e-06,7.780690972466634e-10,7.780690972466634e-10,7.780690972466634e-10
1999,4.609902589436388e-06,7.809800306457504e-10,7.809800306457504e-10,7.809800306457504e-10
2000,4.790233820780746e-06,7.853169463929127e-10,7.853169463929127e-10,7.853169463929127e-10
2001,4.867906162482021e-06,9.608158950997441e-10,9.608158950997441e-10,9.608158950997441e-10
2002,4.983042734758263e-06,8.806473407650475e-10,8.806473407650475e-10,8.806473407650475e-10
2003,5.101192722837108e-06,8.984518684584941e-10,8.984518684584941e-10,8.984518684584941e-10
2004,5.184111224869932e-06,9.492314156922532e-10,9.492314156922532e-10,9.492314156922532e-10
2005,5.376852186600445e-06,9.562721170475186e-10,9.562721170475186e-10,9.562721170475186e-10
2006,5.548462468141224e-06,8.724334072634272e-10,8.724334072634272e-10,8.724334072634272e-10
2007,5.79849997198575e-06,1.0731151562597724e-09,1.0731151562597724e-09,1.0731151562597724e-09
2008,6.106487749743142e-06,8.671983647052478e-10,8.671983647052478e-10,8.671983647052478e-10
2009,6.375071994365758e-06,2.3453535026783457e-09,2.3453535026783457e-09,2.3453535026783457e-09
2010,6.503480433041529e-06,3.127373483196345e-09,3.127373483196345e-09,3.127373483196345e-09
2011,6.794558885303559e-06,4.441358023418321e-09,4.441358023418321e-09,4.441358023418321e-09
2012,6.9601547433454214e-06,4.547499595140638e-09,4.547499595140638e-09,4.547499595140638e-09
