ngram,structure,strcture,strucure,sturcture
1949,9.846806226830398e-05,4.161999713124333e-10,9.582251563650906e-09,3.2229107636640363e-09
1950,0.0001022251121217518,4.500399219953266e-10,9.798823340036376e-09,3.393896687496424e-09
1951,0.00010567004833969154,4.758714493886223e-10,9.728155677838198e-09,3.6481804561410466e-09
1952,0.00010836426164522501,4.979829366329775e-10,1.0149556750604916e-08,4.175776962307103e-09
1953,0.00011044052059462826,6.853949035307799e-10,1.0798028249325853e-08,4.330551948785098e-09
1954,0.00011278678929167134,7.291715842239199e-10,1.1099714798084343e-08,4.600918535047072e-09
1955,0.00011657491164182179,8.031083456990931e-10,1.1145799838629955e-08,4.862465604763397e-09
1956,0.00012102697447906914,8.527575986619748e-10,1.1648114472961879e-08,4.891800615374515e-09
1957,0.00012501089076977223,1.0228172594598357e-09,1.1925713369212839e-08,5.268339605838232e-09
1958,0.0001290167575851748,1.0709916525059831e-09,1.2404173053783194e-08,5.636618473557422e-09
1959,0.00013451351385031427,1.1168052355919095e-09,1.2510470247052905e-08,5.900243468407293e-09
1960,0.0001395075669279322,1.029311635925012e-09,1.2796732943140147e-08,6.349460005391652e-09
1961,0.00014442990193076964,1.0609807952834315e-09,1.2897159530820903e-08,6.829794063634154e-09
1962,0.0001477687806722575,1.1055791520370966e-09,1.3049967836512418e-08,7.732512154388717e-09
1963,0.00015138092775097384,1.119456939844911e-09,1.3134116016999542e-08,8.601747695077426e-09
1964,0.00015394517894102528,1.0504569753726806e-09,1.3229634657615667e-08,8.814333136391334e-09
1965,0.00015663404233886728,1.060578394948156e-09,1.33973346702224e-08,9.066767971331404e-09
1966,0.00015775372698304376,1.1737579955603143e-09,1.3317777991517232e-08,9.404446491397981e-09
1967,0.00015892621013335884,1.2518744612372806e-09,1.3167082027873026e-08,9.817878573617885e-09
1968,0.00016070549983331666,1.2907998638210317e-09,1.3325326493023632e-08,1.0343696819705071e-08
1969,0.00016448187151192023,1.3022099906326697e-09,1.3452917890788285e-08,1.0957684283750626e-08
1970,0.00016670813368234252,1.3641203563555644e-09,1.370444456329421e-08,1.1863302594252088e-08
1971,0.00016988820529409817,1.444042330156492e-09,1.404538707561187e-08,1.3003207653485203e-08
1972,0.0001728528129336025,1.633427948455335e-09,1.416557347612622e-08,1.4360578123476638e-08
1973,0.00017582349495829215,1.8087198722887316e-09,1.418408489074961e-08,1.5185526613947786e-08
1974,0.00017860145349654237,1.9644795790085823e-09,1.4320051937894668e-08,1.6105485326331096e-08
1975,0.00018033787533308247,2.236998522927739e-09,1.3963100009561913e-08,1.684012066302135e-08
1976,0.00018091468414890448,2.76090496496652e-09,1.4550781151407527e-08,1.7128743122287104e-08
1977,0.0001827949329578717,3.096232667080098e-09,1.4773015192101217e-08,1.7007332177497248e-08
1978,0.00018399208991987898,3.3710067753085174e-09,1.515333572906944e-08,1.7703476779778223e-08
1979,0.00018453285779937038,3.577008086555874e-09,1.5955348661326037e-08,1.774674477214181e-08
1980,0.0001861580614266651,3.728554798243522e-09,1.6794371353918384e-08,1.7934385151566597e-08
1981,0.00018703785774830197,3.942817279017114e-09,1.712325075382231e-08,1.789997940347478e-08
1982,0.000188295852110189,3.869894975900528e-09,1.7742579215353415e-08,1.844123279478741e-08
1983,0.0001900728280556255,3.6635236749000502e-09,1.7707220071169364e-08,1.899617250801709e-08
1984,0.00019107378778114383,3.5808151364692874e-09,1.80030469262452e-08,1.8672438706346384e-08
1985,0.00019152815054569925,3.4456890674050555e-09,1.8484868746782013e-08,1.7318781329679822e-08
1986,0.000192389969015494,3.240871475946554e-09,1.8269081993236924e-08,1.63389892092271e-08
1987,0.0001933280041807198,3.0043058199932406e-09,1.7958863856344058e-08,1.5563884530373732e-08
1988,0.0001944594509300909,2.8486538842084232e-09,1.8165877690989873e-08,1.4789972802020657e-08
1989,0.0001952714249325384,2.9975121749816124e-09,1.8021863620479702e-08,1.3296988399247311e-08
1990,0.0001946563383431307,2.87729443445731e-09,1.750234636586713e-08,1.1324222829297729e-08
1991,0.00019386698633232818,2.6769777981629416e-09,1.665110563716813e-08,1.0316677036468848e-08
1992,0.000192848383449018,2.570639637663622e-09,1.5680907873770267e-08,9.734698888256129e-09
1993,0.00019136660765590413,2.451593848564114e-09,1.4735350590504887e-08,9.192402394830879e-09
1994,0.00018841361868128712,2.325504963199673e-09,1.4190758282747344e-08,8.498217050702448e-09
1995,0.00018477776237497373,2.1145528502789344e-09,1.3331500855632124e-08,7.451909121515752e-09
