ngram,patient,patint,patiant,patent
1931,5.736367373694e-05,4.703873957012661e-10,9.94476586397524e-10,2.957966405249733e-05
1932,5.755771988853147e-05,3.5536151798964966e-10,1.0200340473070263e-09,2.9813340786079478e-05
1933,5.838897569836783e-05,3.3341533502349666e-10,1.0436895970482902e-09,2.8934913383896594e-05
1934,5.895539704527307e-05,3.1040645252579576e-10,1.177955838030772e-09,2.9581180310092998e-05
1935,5.920861804042943e-05,2.8583550407531734e-10,1.3107026813103622e-09,3.0239239484736962e-05
1936,5.9750539159202685e-05,2.7713877423111e-10,1.3020059514661548e-09,3.120805402951581e-05
1937,6.105962685459028e-05,3.396810491615046e-10,1.4142180323631744e-09,3.2132304113474675e-05
1938,6.12517557913504e-05,4.2220929332069193e-10,1.1755147529982475e-09,3.269114858994726e-05
1939,6.288438713194669e-05,4.719973439870628e-10,1.3547760572115867e-09,3.386824495724535e-05
1940,6.46538901492022e-05,4.5670849443560767e-10,1.3368611059430942e-09,3.3698036921642984e-05
1941,6.73370117770641e-05,4.893977604122516e-10,1.901739488108234e-09,3.310265154660945e-05
1942,6.9808003900107e-05,5.223629465486315e-10,2.194527979972248e-09,3.2250666273674664e-05
1943,7.167205954569258e-05,6.306613525059695e-10,2.3457330482796427e-09,3.095706181609005e-05
1944,7.343497834101851e-05,6.167769747314874e-10,2.366320223101681e-09,3.073141877913648e-05
1945,7.518315084910552e-05,5.455545618434801e-10,1.9568827233243778e-09,3.113377975491208e-05
1946,7.595293677046097e-05,6.777956648321545e-10,1.732692747217054e-09,2.9848359450365285e-05
1947,7.702235909943868e-05,7.825426219719236e-10,1.714220174539197e-09,2.944624429801479e-05
1948,7.582131157895284e-05,8.128854851146323e-10,1.2431987939098832e-09,2.91530169696281e-05
1949,7.56973001573767e-05,9.51339582507974e-10,1.3900696585863619e-09,2.8586928497783708e-05
1950,7.535009873598548e-05,8.857661865884531e-10,1.298509581605854e-09,2.8101066033871446e-05
1951,7.511076026795698e-05,8.429790932756071e-10,1.1657103258867961e-09,2.7737482274200636e-05
1952,7.58821313086498e-05,8.838599990790286e-10,1.1628814538295578e-09,2.7157746184717064e-05
1953,7.588484108314983e-05,7.33209318656439e-10,1.1446156145915915e-09,2.6724823068694343e-05
1954,7.625256798097066e-05,6.817261834411527e-10,1.3292409970341472e-09,2.634809243318159e-05
1955,7.804463010480893e-05,7.121801957689553e-10,1.2005835155402623e-09,2.6716354113887064e-05
1956,7.95490580328208e-05,6.222419801638068e-10,8.208559169688354e-10,2.7250821014084587e-05
1957,8.036198518571577e-05,7.160542635022336e-10,9.742105792710986e-10,2.769325276728653e-05
