ngram,towel,towl,towl,towel
1939,1.9591619612973384e-06,3.1806640496004744e-09,3.1806640496004744e-09,1.9591619612973384e-06
1940,1.9776729556854533e-06,3.2405966798876307e-09,3.2405966798876307e-09,1.9776729556854533e-06
1941,2.0028353771652163e-06,3.144649873831895e-09,3.144649873831895e-09,2.0028353771652163e-06
1942,1.992802448772376e-06,3.4037365624430193e-09,3.4037365624430193e-09,1.992802448772376e-06
1943,1.9851001005528294e-06,3.6699466640247434e-09,3.6699466640247434e-09,1.9851001005528294e-06
1944,1.968843467433804e-06,3.766179717296885e-09,3.766179717296885e-09,1.968843467433804e-06
1945,1.9689638293129974e-06,3.1409645995239543e-09,3.1409645995239543e-09,1.9689638293129974e-06
1946,1.951606122929661e-06,3.5533735319250225e-09,3.5533735319250225e-09,1.951606122929661e-06
1947,1.9203667177082806e-06,3.6393061897399548e-09,3.6393061897399548e-09,1.9203667177082806e-06
1948,1.881313096419035e-06,3.6845633528364327e-09,3.6845633528364327e-09,1.881313096419035e-06
1949,1.8524137723423856e-06,3.595752711455751e-09,3.595752711455751e-09,1.8524137723423856e-06
1950,1.8252805732897417e-06,3.244325855586031e-09,3.244325855586031e-09,1.8252805732897417e-06
1951,1.8089906624092173e-06,3.1530942935985097e-09,3.1530942935985097e-09,1.8089906624092173e-06
1952,1.7954459638401334e-06,3.2795922485665383e-09,3.2795922485665383e-09,1.7954459638401334e-06
1953,1.7585892270030205e-06,2.748564836047811e-09,2.748564836047811e-09,1.7585892270030205e-06
1954,1.7505453635229579e-06,2.7079732424693604e-09,2.7079732424693604e-09,1.7505453635229579e-06
1955,1.740004027591827e-06,2.679635307296329e-09,2.679635307296329e-09,1.740004027591827e-06
1956,1.704485514762512e-06,2.4628930165146048e-09,2.4628930165146048e-09,1.704485514762512e-06
1957,1.6674966250970362e-06,2.3960730225322126e-09,2.3960730225322126e-09,1.6674966250970362e-06
1958,1.6437552078839092e-06,2.3295380545209e-09,2.3295380545209e-09,1.6437552078839092e-06
1959,1.5996130449431284e-06,1.9970607707214025e-09,1.9970607707214025e-09,1.5996130449431284e-06
1960,1.5625307696609525e-06,1.921695469420115e-09,1.921695469420115e-09,1.5625307696609525e-06
1961,1.5216562912558272e-06,1.7516156620394391e-09,1.7516156620394391e-09,1.5216562912558272e-06
1962,1.480421019550704e-06,1.8118238496813076e-09,1.8118238496813076e-09,1.480421019550704e-06
1963,1.453865414597593e-06,1.925938583216943e-09,1.925938583216943e-09,1.453865414597593e-06
1964,1.4292942946017969e-06,1.9378784132939586e-09,1.9378784132939586e-09,1.4292942946017969e-06
1965,1.3945701441895965e-06,1.9224158296994786e-09,1.9224158296994786e-09,1.3945701441895965e-06
1966,1.366496478892389e-06,2.0959365195797173e-09,2.0959365195797173e-09,1.366496478892389e-06
1967,1.3628979818999402e-06,2.0717895018610275e-09,2.0717895018610275e-09,1.3628979818999402e-06
1968,1.3564993456124545e-06,2.0745491832333383e-09,2.0745491832333383e-09,1.3564993456124545e-06
1969,1.3513651668160622e-06,1.783178454101935e-09,1.783178454101935e-09,1.3513651668160622e-06
1970,1.3512390231491217e-06,1.6984944165418118e-09,1.6984944165418118e-09,1.3512390231491217e-06
1971,1.3748291881451484e-06,1.7511819851355271e-09,1.7511819851355271e-09,1.3748291881451484e-06
1972,1.3968663909378977e-06,2.2342985794843173e-09,2.2342985794843173e-09,1.3968663909378977e-06
1973,1.4258334398878754e-06,2.2132785683558e-09,2.2132785683558e-09,1.4258334398878754e-06
1974,1.4422635266393108e-06,2.3662495534410813e-09,2.3662495534410813e-09,1.4422635266393108e-06
1975,1.4740604033899477e-06,2.297422434833456e-09,2.297422434833456e-09,1.4740604033899477e-06
1976,1.5116038412088528e-06,2.3575243979223615e-09,2.3575243979223615e-09,1.5116038412088528e-06
1977,1.5682591733171388e-06,2.3425147536012705e-09,2.3425147536012705e-09,1.5682591733171388e-06
1978,1.6102279362582652e-06,2.2371863092221898e-09,2.2371863092221898e-09,1.6102279362582652e-06
1979,1.6951259535094972e-06,1.6670519250741985e-09,1.6670519250741985e-09,1.6951259535094972e-06
1980,1.77977545133347e-06,1.635104781730742e-09,1.635104781730742e-09,1.77977545133347e-06
