ngram,price,prce,prcie,priice
1849,9.644855059117876e-05,1.7219343665228085e-08,2.4074050689445615e-10,1.8820929735343028e-10
1850,9.379964571313135e-05,1.699480657789211e-08,1.7516597696141745e-10,2.356792063094661e-10
1851,9.381891660658377e-05,1.792523640631316e-08,1.7516597696141745e-10,2.1532494438274748e-10
1852,9.442771261092275e-05,1.6808947376846717e-08,1.0842721165360558e-10,1.9914774987813847e-10
1853,9.433120015143816e-05,1.7571816763555555e-08,1.0842721165360558e-10,2.4740709084599844e-10
1854,9.415827974277948e-05,1.722822950966929e-08,1.0842721165360558e-10,2.4740709084599844e-10
1855,9.342072631365486e-05,1.8350518565008704e-08,1.0624128561025664e-10,2.452211648026495e-10
1856,9.427085959552122e-05,1.976833858512756e-08,5.250174898005103e-11,2.452211648026495e-10
1857,9.486454759358562e-05,2.2734420822091905e-08,1.0063597574320023e-10,2.4588548260976294e-10
1858,9.591646085027605e-05,2.2899388290349114e-08,1.0063597574320023e-10,1.9945688751426312e-10
1859,9.540553894891803e-05,2.9426497809887612e-08,1.0063597574320023e-10,1.4889531671106023e-10
1860,9.609777147748641e-05,2.933403285356105e-08,1.0063597574320023e-10,1.0063597574320023e-10
1861,9.607145225995087e-05,2.883385213132377e-08,1.0063597574320023e-10,1.0063597574320023e-10
1862,9.664413664722815e-05,2.797462934316692e-08,4.8134226763149204e-11,4.8134226763149204e-11
1863,9.603114241534578e-05,2.5606125727709435e-08,2.390857511969102e-10,4.8134226763149204e-11
1864,9.53860768017226e-05,2.2387702358628303e-08,2.3804664588717676e-10,0.0
1865,9.488232899457216e-05,2.2807045395113945e-08,2.3804664588717676e-10,0.0
1866,9.428118625822078e-05,1.6892898254842033e-08,2.3804664588717676e-10,0.0
1867,9.482989116804674e-05,1.6707784616138658e-08,2.812591033090379e-10,4.321245742186111e-11
1868,9.564770672503593e-05,1.759492310579195e-08,2.812591033090379e-10,4.321245742186111e-11
1869,9.54478933376127e-05,1.682205879356096e-08,2.812591033090379e-10,1.2238422973455598e-10
1870,9.543792215741373e-05,1.718230954342711e-08,9.030757887527687e-11,1.646206900954691e-10
1871,9.64171631494537e-05,1.7043275362433567e-08,1.2436458212456662e-10,1.646206900954691e-10
1872,9.580606794250863e-05,1.598845259361984e-08,1.6531629240138353e-10,2.05572400372286e-10
1873,9.710550823781108e-05,1.6207868697953083e-08,1.6531629240138353e-10,2.44581152949611e-10
1874,9.725010230405522e-05,1.5698997022996408e-08,1.6184454966681828e-10,2.0136869552774987e-10
1875,9.910568561671036e-05,1.4268337749407628e-08,1.6184454966681828e-10,3.2171378656314127e-10
1876,0.00010044080305046268,1.540521919553482e-08,1.6184454966681828e-10,2.425420142504464e-10
1877,0.00010028252082910123,1.7024468184396417e-08,1.6184454966681828e-10,2.3525722639813496e-10
1878,9.98881587292999e-05,1.7166536255989025e-08,8.069242496411277e-11,2.3525722639813496e-10
1879,0.00010151125336830904,1.7376272738139116e-08,7.465452859075786e-11,1.9430551612131808e-10
1880,0.00010048660520364397,1.768347918889341e-08,7.465452859075786e-11,1.5529676354399313e-10
1881,0.00010069519963248499,1.8025257350221376e-08,6.647940927909498e-11,1.868623589196261e-10
1882,9.892726562351786e-05,1.8408521564237745e-08,1.6370814228037845e-10,1.6374600088551817e-10
1883,9.922446874302946e-05,1.8057815940965482e-08,1.6370814228037845e-10,1.6374600088551817e-10
1884,0.00010097054993301364,1.559887063962151e-08,2.8575177145130834e-10,1.2879432837691647e-10
1885,0.0001037359657597595,1.5540498411935133e-08,2.8575177145130834e-10,1.2879432837691647e-10
1886,0.00010497410819100748,1.4470349236311059e-08,3.0601518937903704e-10,1.2879432837691647e-10
1887,0.00010695144737837836,1.3251487653219231e-08,3.0601518937903704e-10,1.5642829690306773e-10
1888,0.00010777464506515701,1.3013103356789607e-08,4.3646664457267347e-10,1.2486270152743473e-10
