ngram,angle,angl,anglee,anggle
1942,4.210991547941896e-05,1.7653850698755898e-08,5.699936752748666e-10,0.0
1943,4.238235019978934e-05,1.8095211170735378e-08,6.578705477203581e-10,0.0
1944,4.2514449367964903e-05,1.835356806217143e-08,7.198714600610754e-10,0.0
1945,4.2852818816235026e-05,1.9531596657478597e-08,6.832050599861869e-10,0.0
1946,4.252489036714126e-05,2.0079849148503725e-08,7.823499388009176e-10,0.0
1947,4.2856113265900474e-05,2.01343145330871e-08,7.896706284902879e-10,0.0
1948,4.274101593182422e-05,1.9686693418309786e-08,6.925992140915938e-10,0.0
1949,4.4123699418768024e-05,2.07458822184695e-08,7.187096552817098e-10,0.0
1950,4.503863341856881e-05,2.5847405232022018e-08,6.993628295529472e-10,1.6919975341446657e-11
1951,4.514532130477684e-05,2.8669984481715412e-08,7.461814261715866e-10,5.001817214380009e-11
1952,4.535687289067677e-05,2.8389200323886143e-08,7.778059149135938e-10,5.001817214380009e-11
1953,4.579570512370472e-05,2.818816570636175e-08,7.073191714874432e-10,5.001817214380009e-11
1954,4.57700490577346e-05,2.787068176246521e-08,7.177530871236928e-10,6.453412804141578e-11
1955,4.6210968451175306e-05,3.052898454671192e-08,7.218243463264734e-10,6.453412804141578e-11
1956,4.6522261982318014e-05,2.986187221308358e-08,6.842738647530996e-10,6.453412804141578e-11
1957,4.702169982400457e-05,2.4703890996339136e-08,5.447378143801679e-10,6.035787841751628e-11
1958,4.789356327299694e-05,2.2513984327637056e-08,3.937558691800648e-10,2.7259681615162836e-11
1959,4.9291736234278816e-05,2.274271336334875e-08,3.9251760572004256e-10,2.7259681615162836e-11
1960,4.93493363527315e-05,2.384761239276096e-08,3.458350034917552e-10,2.7259681615162836e-11
1961,4.997182622901164e-05,2.4787928154523797e-08,3.2479827359401167e-10,1.2743725717547149e-11
1962,5.024514757678844e-05,2.139628182565697e-08,3.441428233655738e-10,1.2743725717547149e-11
1963,4.982408946878942e-05,2.1280490005080666e-08,4.000018144093406e-10,2.2647582222288877e-11
1964,4.8893718485487625e-05,2.6002816661779045e-08,4.052447088216076e-10,9.90385650474173e-12
1965,4.7836107634274026e-05,2.8145395093913195e-08,3.84082721976193e-10,5.397926649315059e-11
1966,4.6017189431170535e-05,4.7643726931921396e-08,3.2140089399414404e-10,5.397926649315059e-11
1967,4.487688680196048e-05,6.484292442670331e-08,3.3386070495490724e-10,5.397926649315059e-11
1968,4.3623890503243145e-05,8.916913683622494e-08,3.6448881413075895e-10,5.397926649315059e-11
1969,4.256352362322754e-05,1.199376263067669e-07,3.1755743471314647e-10,5.397926649315059e-11
1970,4.097623345192655e-05,1.3514029565239331e-07,3.6223405425988327e-10,4.4075409988408865e-11
1971,4.0463895857101306e-05,1.459720400427094e-07,3.9795283933243194e-10,6.197721106168278e-11
1972,4.007368209256258e-05,1.5198874539886935e-07,4.5846204610455743e-10,1.7901801073273914e-11
1973,3.96732398907521e-05,1.330406801867769e-07,4.6294331860049654e-10,3.44099946948871e-11
1974,3.927781030402652e-05,1.1615973249945455e-07,4.594574403477785e-10,3.44099946948871e-11
1975,3.880502065710191e-05,9.048352162770762e-08,4.5497519244161056e-10,3.44099946948871e-11
1976,3.829582263798719e-05,5.8959173416488804e-08,4.422364875094382e-10,3.44099946948871e-11
1977,3.8386011250882544e-05,4.343166854730336e-08,3.7639133674906486e-10,3.44099946948871e-11
1978,3.822585495072417e-05,2.7406611202707154e-08,3.7980543115307645e-10,1.6508193621613186e-11
1979,3.8132188949800495e-05,1.8735727762881586e-08,3.2536178315048913e-10,1.6508193621613186e-11
1980,3.840107923939026e-05,1.7704265355332283e-08,3.455341072790473e-10,0.0
1981,3.869368811137974e-05,1.663330210074524e-08,4.5739255835223046e-10,7.629798578648713e-12
1982,3.909157697177891e-05,1.6730132327121997e-08,4.754390115729074e-10,7.629798578648713e-12
1983,3.9323893620998464e-05,1.6832211053546027e-08,4.877083221404327e-10,2.2434809962160582e-11
1984,3.956865267744953e-05,1.6655998231434362e-08,5.130557883299097e-10,2.2434809962160582e-11
1985,3.948857868506041e-05,1.719285285568211e-08,5.42745190060653e-10,2.2434809962160582e-11
1986,3.944458720590254e-05,1.6491434757475483e-08,5.6550282710534e-10,2.2434809962160582e-11
1987,3.9231142831600406e-05,1.6117786851209204e-08,4.859851960343458e-10,2.2434809962160582e-11
1988,3.9179260056698695e-05,2.058037131190206e-08,4.3042896974828816e-10,1.4805011383511868e-11
1989,3.893865505233407e-05,2.021304368327037e-08,4.302456362411825e-10,2.1457023162220678e-11
1990,3.851605080334204e-05,2.0125058825775407e-08,4.1911791051618685e-10,6.652011778708809e-12
1991,3.821985696309379e-05,1.9280993944294422e-08,4.1130466443431834e-10,1.9790548664141585e-11
1992,3.8095657406042195e-05,1.7849662700289822e-08,4.1356860743564054e-10,1.9790548664141585e-11
1993,3.7731006159447134e-05,1.726347953479035e-08,4.033896822725718e-10,2.6231908014809744e-11
1994,3.7339974889099335e-05,1.6494493009539772e-08,4.6173351253564476e-10,2.6231908014809744e-11
1995,3.683028782169069e-05,1.0640843127264686e-08,3.902422968105057e-10,3.2619039413983586e-11
1996,3.6087264431573984e-05,1.0243157814012908e-08,4.119507294810175e-10,3.2269066882869726e-11
1997,3.579021306774978e-05,9.569258909079638e-09,4.707038112458254e-10,3.8021591331720877e-11
1998,3.522738240592714e-05,9.307595583152306e-09,4.5701121260360063e-10,2.48830544462881e-11
1999,3.467479577271401e-05,9.03488147788575e-09,4.54710275385065e-10,2.48830544462881e-11
2000,3.433890118945523e-05,9.036436551416012e-09,4.719299098335636e-10,1.8441695095619945e-11
2001,3.403972940369775e-05,8.873516017209632e-09,4.728181041135926e-10,1.8441695095619945e-11
2002,3.369509379678805e-05,8.764481458050405e-09,4.848494542361184e-10,1.2054563696446102e-11
2003,3.357369600312917e-05,8.227504772711264e-09,4.37886001268341e-10,5.7525244488511515e-12
2004,3.339938016974234e-05,7.742647348659863e-09,3.6603179416021854e-10,0.0
2005,3.302644472569227e-05,7.048927029375461e-09,3.786234242797448e-10,0.0
2006,3.278371618112682e-05,6.643459243045007e-09,3.021446614729203e-10,0.0
2007,3.269163010242794e-05,6.099675431414653e-09,4.00850347954356e-10,0.0
2008,3.2815668029278254e-05,6.122580981886878e-09,3.9313273172573004e-10,5.29107957844158e-12
2009,3.4053212272868094e-05,5.790522283888322e-09,3.804449305192367e-10,5.29107957844158e-12
2010,3.480912554160958e-05,5.544270629899626e-09,3.5146152060112305e-10,5.29107957844158e-12
2011,3.45797800816529e-05,6.36610789480788e-09,3.823417059147159e-10,5.29107957844158e-12
2012,3.441273890660211e-05,6.0188514807078624e-09,3.2842970406779925e-10,5.29107957844158e-12
2013,3.4332453911442175e-05,6.427227987921518e-09,3.28838605155392e-10,1.5993124979114218e-11
2014,3.392862423165103e-05,6.2288032509627556e-09,1.6782376877078065e-10,1.5993124979114218e-11
2015,3.316454733846642e-05,8.841162849445742e-09,1.2048323549158317e-10,1.0702045400672639e-11
2016,3.1400420214465286e-05,9.553975515481333e-09,1.0810813256505775e-10,4.199447436617884e-11
2017,3.0267132691127092e-05,1.01337477668532e-08,1.1179751800242481e-10,4.8993553427208645e-11
2018,3.00625051750103e-05,9.957215674205599e-09,6.266410446098547e-11,5.879226411265037e-11
2019,3.0119104849291034e-05,1.1932558330318699e-08,5.964062924079805e-11,7.349033014081296e-11
