ngram,duty,dut,dutty,dut
1828,0.0002213232863661168,2.3562340954543159e-07,3.6233797073847995e-09,2.3562340954543159e-07
1829,0.0002233546256320551,2.3690799366704596e-07,4.18557393506396e-09,2.3690799366704596e-07
1830,0.00022997836432685808,2.3229447825607557e-07,3.904648398262671e-09,2.3229447825607557e-07
1831,0.0002354118914809078,2.33073935516716e-07,3.997543058480752e-09,2.33073935516716e-07
1832,0.0002302578276222838,2.2354370189857165e-07,3.744309449795123e-09,2.2354370189857165e-07
1833,0.00023257583546053086,2.1656670006515405e-07,4.8990050904862414e-09,2.1656670006515405e-07
1834,0.00022716326098556498,2.210577138482352e-07,5.065125477773538e-09,2.210577138482352e-07
1835,0.00022237422776275447,2.0833319881928348e-07,2.3110385192838733e-09,2.0833319881928348e-07
1836,0.0002189298060589603,1.9722846746260204e-07,1.8239054710988967e-09,1.9722846746260204e-07
1837,0.00021155630279931108,1.8801573276050476e-07,1.8239054710988967e-09,1.8801573276050476e-07
1838,0.00020871585625822524,1.8373715298431697e-07,1.807336558190542e-09,1.8373715298431697e-07
1839,0.00021143052228061215,1.853501743198649e-07,1.807336558190542e-09,1.853501743198649e-07
1840,0.0002101907614685063,1.9522461108018823e-07,1.106156713845e-09,1.9522461108018823e-07
1841,0.00021039120370655188,2.111582741041015e-07,3.179319878794067e-09,2.111582741041015e-07
1842,0.0002089313929900527,2.1473073478058984e-07,2.8441862753858516e-09,2.1473073478058984e-07
1843,0.00021103149213429009,2.2394013399207324e-07,3.228146805422938e-09,2.2394013399207324e-07
1844,0.00021085254515388181,2.304210876705578e-07,3.3617125194673747e-09,2.304210876705578e-07
1845,0.00020785724752516086,2.3135313905900796e-07,3.3521255374654604e-09,2.3135313905900796e-07
1846,0.0002030116759539981,2.334738512997449e-07,3.3521255374654604e-09,2.334738512997449e-07
1847,0.00020087285416333804,2.4243490770459175e-07,3.1410316014834905e-09,2.4243490770459175e-07
1848,0.00020073538222017566,2.480059890785924e-07,1.4486248153414545e-09,2.480059890785924e-07
1849,0.0002021683633626838,2.7717303347734354e-07,1.4486248153414545e-09,2.7717303347734354e-07
1850,0.00020153526358106838,2.949255437962555e-07,1.1794827416343269e-09,2.949255437962555e-07
