ngram,lan,loon
2002,1.211488422216332e-06,2.6273491877353603e-07
2003,1.147737439818489e-06,2.638609828409244e-07
2004,1.0966356204075315e-06,2.628227946388506e-07
2005,1.0226375317350694e-06,2.64711100531453e-07
2006,9.535357808739978e-07,2.667978508595427e-07
2007,8.74966669276286e-07,2.6824526701472807e-07
2008,8.103302613043135e-07,2.7198742356761484e-07
2009,7.419398083844239e-07,2.737621806707986e-07
2010,7.074019744582724e-07,2.713204959750978e-07
2011,6.462612743364713e-07,2.798939695886864e-07
2012,5.808470494425169e-07,2.7886831130022725e-07
2013,5.340271554489715e-07,2.7585031148191774e-07
2014,5.016577761450338e-07,2.818057193313247e-07
2015,5.587448258990792e-07,3.008830406413056e-07
2016,5.459277961758094e-07,3.0311802236480746e-07
2017,5.19831696503085e-07,3.107568602445099e-07
2018,5.28491483464677e-07,3.111383534815104e-07
2019,5.600087717994029e-07,3.181925265494101e-07
