ngram,television,televsion,telvision,televison
1553,3.541266291254682e-06,0.0,0.0,0.0
1554,3.541266291254682e-06,0.0,0.0,0.0
1555,3.244024355808506e-06,0.0,0.0,0.0
1556,3.244024355808506e-06,0.0,0.0,0.0
1557,2.1633329327284756e-06,0.0,0.0,0.0
1558,3.5274302458024716e-06,0.0,0.0,0.0
1559,1.3640973130739958e-06,0.0,0.0,0.0
1560,1.3640973130739958e-06,0.0,0.0,0.0
1561,1.3640973130739958e-06,0.0,0.0,0.0
1562,1.3640973130739958e-06,0.0,0.0,0.0
1563,1.3640973130739958e-06,0.0,0.0,0.0
1564,1.3640973130739958e-06,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0
1571,0.0,0.0,0.0,0.0
1572,0.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0
1576,0.0,0.0,0.0,0.0
1577,0.0,0.0,0.0,0.0
1578,0.0,0.0,0.0,0.0
1579,0.0,0.0,0.0,0.0
1580,0.0,0.0,0.0,0.0
1581,0.0,0.0,0.0,0.0
1582,0.0,0.0,0.0,0.0
1583,0.0,0.0,0.0,0.0
1584,0.0,0.0,0.0,0.0
1585,0.0,0.0,0.0,0.0
1586,0.0,0.0,0.0,0.0
1587,0.0,0.0,0.0,0.0
1588,0.0,0.0,0.0,0.0
1589,3.734529465353782e-07,0.0,0.0,0.0
1590,3.734529465353782e-07,0.0,0.0,0.0
1591,3.734529465353782e-07,0.0,0.0,0.0
1592,3.734529465353782e-07,0.0,0.0,0.0
1593,3.734529465353782e-07,0.0,0.0,0.0
1594,3.734529465353782e-07,0.0,0.0,0.0
1595,3.734529465353782e-07,0.0,0.0,0.0
1596,0.0,0.0,0.0,0.0
1597,4.842483706722435e-07,0.0,0.0,0.0
1598,5.727162033508648e-07,0.0,0.0,0.0
1599,8.08538499898402e-07,0.0,0.0,0.0
1600,8.08538499898402e-07,0.0,0.0,0.0
1601,8.08538499898402e-07,0.0,0.0,0.0
1602,8.08538499898402e-07,0.0,0.0,0.0
1603,8.08538499898402e-07,0.0,0.0,0.0
1604,3.242901292261584e-07,0.0,0.0,0.0
1605,2.3582229654753713e-07,0.0,0.0,0.0
1606,1.6016021423378595e-07,0.0,0.0,0.0
1607,1.6016021423378595e-07,0.0,0.0,0.0
1608,1.6016021423378595e-07,0.0,0.0,0.0
1609,1.6016021423378595e-07,0.0,0.0,0.0
1610,1.6016021423378595e-07,0.0,0.0,0.0
1611,4.673970417050961e-07,0.0,0.0,0.0
1612,4.673970417050961e-07,0.0,0.0,0.0
1613,3.072368274713101e-07,0.0,0.0,0.0
1614,3.072368274713101e-07,0.0,0.0,0.0
1615,3.072368274713101e-07,0.0,0.0,0.0
1616,3.072368274713101e-07,0.0,0.0,0.0
