ngram,SAP,SAP,SP,SP
1888,3.362422340558169e-08,3.362422340558169e-08,4.127793512712482e-07,4.127793512712482e-07
1889,3.2207299430605674e-08,3.2207299430605674e-08,4.145381272532437e-07,4.145381272532437e-07
1890,3.011559433576037e-08,3.011559433576037e-08,4.03710812081824e-07,4.03710812081824e-07
1891,2.8795575955444164e-08,2.8795575955444164e-08,4.1696298020659537e-07,4.1696298020659537e-07
1892,2.9766930507792366e-08,2.9766930507792366e-08,4.241409235256859e-07,4.241409235256859e-07
1893,2.9616599966126548e-08,2.9616599966126548e-08,2.656819637942525e-07,2.656819637942525e-07
1894,3.092278458690803e-08,3.092278458690803e-08,2.7745094095215403e-07,2.7745094095215403e-07
1895,3.149376556369329e-08,3.149376556369329e-08,2.711055953698503e-07,2.711055953698503e-07
1896,3.121363332882408e-08,3.121363332882408e-08,2.617962674581317e-07,2.617962674581317e-07
1897,3.352549450750887e-08,3.352549450750887e-08,2.781655845345605e-07,2.781655845345605e-07
1898,3.249104680540833e-08,3.249104680540833e-08,2.5661061694596097e-07,2.5661061694596097e-07
1899,3.264577662166955e-08,3.264577662166955e-08,2.715930804697564e-07,2.715930804697564e-07
1900,3.441392136340125e-08,3.441392136340125e-08,2.64941011859524e-07,2.64941011859524e-07
1901,3.5548063286634194e-08,3.5548063286634194e-08,2.4741265341227905e-07,2.4741265341227905e-07
1902,3.786715195376798e-08,3.786715195376798e-08,2.4731811874646935e-07,2.4731811874646935e-07
1903,4.06268202571677e-08,4.06268202571677e-08,4.2707255585940273e-07,4.2707255585940273e-07
1904,4.179338779814705e-08,4.179338779814705e-08,4.1223103153242846e-07,4.1223103153242846e-07
1905,4.322967431643779e-08,4.322967431643779e-08,4.1984382700580423e-07,4.1984382700580423e-07
1906,4.373741445208777e-08,4.373741445208777e-08,3.888860098706053e-07,3.888860098706053e-07
1907,4.679577817309369e-08,4.679577817309369e-08,3.95479170427799e-07,3.95479170427799e-07
1908,5.156177554762767e-08,5.156177554762767e-08,4.3079055801951783e-07,4.3079055801951783e-07
1909,5.2188929495449495e-08,5.2188929495449495e-08,4.346412814421845e-07,4.346412814421845e-07
1910,5.4053605781843676e-08,5.4053605781843676e-08,2.639585302079338e-07,2.639585302079338e-07
1911,5.669852904637602e-08,5.669852904637602e-08,2.576944625941126e-07,2.576944625941126e-07
1912,6.024179352185196e-08,6.024179352185196e-08,2.679547484214189e-07,2.679547484214189e-07
1913,6.327347179535536e-08,6.327347179535536e-08,2.991694815688918e-07,2.991694815688918e-07
1914,6.307907593087034e-08,6.307907593087034e-08,3.0924087062495733e-07,3.0924087062495733e-07
1915,6.100616596021219e-08,6.100616596021219e-08,2.9123218122809445e-07,2.9123218122809445e-07
1916,6.153293138514268e-08,6.153293138514268e-08,2.86738022785877e-07,2.86738022785877e-07
1917,6.193920804824821e-08,6.193920804824821e-08,2.9025119374637143e-07,2.9025119374637143e-07
1918,6.254593643006956e-08,6.254593643006956e-08,3.0015438109590574e-07,3.0015438109590574e-07
1919,6.533372243211488e-08,6.533372243211488e-08,2.9816096360134126e-07,2.9816096360134126e-07
1920,6.894207972761381e-08,6.894207972761381e-08,3.0632750329979377e-07,3.0632750329979377e-07
1921,7.043172445264645e-08,7.043172445264645e-08,3.399421391999827e-07,3.399421391999827e-07
1922,7.262530792624083e-08,7.262530792624083e-08,3.4995210285160283e-07,3.4995210285160283e-07
1923,7.256494630577695e-08,7.256494630577695e-08,3.9485437192914627e-07,3.9485437192914627e-07
1924,7.589029036937842e-08,7.589029036937842e-08,5.275646758816168e-07,5.275646758816168e-07
1925,7.413759967838424e-08,7.413759967838424e-08,5.716745111580426e-07,5.716745111580426e-07
1926,7.434361037894632e-08,7.434361037894632e-08,6.754629972809718e-07,6.754629972809718e-07
1927,7.124512129459098e-08,7.124512129459098e-08,7.183520511132104e-07,7.183520511132104e-07
1928,7.354810703321033e-08,7.354810703321033e-08,7.787330876648671e-07,7.787330876648671e-07
1929,7.258605754551744e-08,7.258605754551744e-08,8.606857185051402e-07,8.606857185051402e-07
1930,7.171909542437658e-08,7.171909542437658e-08,9.184519659096882e-07,9.184519659096882e-07
1931,7.910345039314442e-08,7.910345039314442e-08,8.345236649022678e-07,8.345236649022678e-07
1932,8.21511691689076e-08,8.21511691689076e-08,9.072443357841362e-07,9.072443357841362e-07
1933,7.833631495860313e-08,7.833631495860313e-08,8.637326638043825e-07,8.637326638043825e-07
1934,8.896018347367577e-08,8.896018347367577e-08,8.661825745548413e-07,8.661825745548413e-07
1935,8.714374593361234e-08,8.714374593361234e-08,8.575369585222299e-07,8.575369585222299e-07
1936,8.760991779662877e-08,8.760991779662877e-08,8.605002384293974e-07,8.605002384293974e-07
1937,9.806708638799527e-08,9.806708638799527e-08,9.027763780977693e-07,9.027763780977693e-07
1938,9.252045580459318e-08,9.252045580459318e-08,9.883205426116807e-07,9.883205426116807e-07
1939,9.487091594857183e-08,9.487091594857183e-08,1.0124829746668444e-06,1.0124829746668444e-06
1940,9.570170078632145e-08,9.570170078632145e-08,1.0818816105841376e-06,1.0818816105841376e-06
1941,8.430884232016719e-08,8.430884232016719e-08,1.1462633113166833e-06,1.1462633113166833e-06
1942,8.330596809206067e-08,8.330596809206067e-08,1.2601652445352686e-06,1.2601652445352686e-06
1943,9.07370645921089e-08,9.07370645921089e-08,1.428796638590159e-06,1.428796638590159e-06
1944,8.525722401080721e-08,8.525722401080721e-08,1.5275997092040988e-06,1.5275997092040988e-06
1945,8.019022195477582e-08,8.019022195477582e-08,1.5994835231530097e-06,1.5994835231530097e-06
1946,8.170578423362582e-08,8.170578423362582e-08,1.6694664606932617e-06,1.6694664606932617e-06
1947,8.221372788901655e-08,8.221372788901655e-08,1.7293769393031004e-06,1.7293769393031004e-06
1948,8.655449233531596e-08,8.655449233531596e-08,1.7923009636433562e-06,1.7923009636433562e-06
1949,8.984233902862928e-08,8.984233902862928e-08,1.8279682438203184e-06,1.8279682438203184e-06
1950,8.934368013667284e-08,8.934368013667284e-08,1.8010459663336015e-06,1.8010459663336015e-06
1951,9.324051575276826e-08,9.324051575276826e-08,1.7882395013657515e-06,1.7882395013657515e-06
1952,1.0106213060063445e-07,1.0106213060063445e-07,1.910654694776375e-06,1.910654694776375e-06
1953,1.0184971444004987e-07,1.0184971444004987e-07,1.9413169444045967e-06,1.9413169444045967e-06
1954,1.7146136294903564e-07,1.7146136294903564e-07,2.0957668474303707e-06,2.0957668474303707e-06
1955,1.8363845758325885e-07,1.8363845758325885e-07,2.2954521422694337e-06,2.2954521422694337e-06
1956,2.0965240159804515e-07,2.0965240159804515e-07,2.413898235837613e-06,2.413898235837613e-06
1957,2.2355436917515753e-07,2.2355436917515753e-07,2.497899134011407e-06,2.497899134011407e-06
