ngram,Bayer,Bayr,Bayer,Bayr
1914,7.01300239467985e-07,1.2175013885951103e-08,7.01300239467985e-07,1.2175013885951103e-08
1915,7.28071508352254e-07,1.1349372425988641e-08,7.28071508352254e-07,1.1349372425988641e-08
1916,7.905077917972189e-07,1.0367225998310557e-08,7.905077917972189e-07,1.0367225998310557e-08
1917,8.553840952377609e-07,9.970891604435143e-09,8.553840952377609e-07,9.970891604435143e-09
1918,9.202893157375261e-07,8.387670684990261e-09,9.202893157375261e-07,8.387670684990261e-09
1919,1.0138814689396116e-06,8.049724125364882e-09,1.0138814689396116e-06,8.049724125364882e-09
1920,1.0474942411877107e-06,7.769746052892806e-09,1.0474942411877107e-06,7.769746052892806e-09
1921,1.0538354818631239e-06,9.030360269081581e-09,1.0538354818631239e-06,9.030360269081581e-09
1922,1.1331161106552048e-06,8.951696146246896e-09,1.1331161106552048e-06,8.951696146246896e-09
1923,1.1313072718621697e-06,9.375223771915638e-09,1.1313072718621697e-06,9.375223771915638e-09
1924,1.0949155060708499e-06,9.758060137698976e-09,1.0949155060708499e-06,9.758060137698976e-09
1925,1.0660667888779635e-06,1.0232351474063047e-08,1.0660667888779635e-06,1.0232351474063047e-08
1926,1.0090913795985607e-06,1.211268355457865e-08,1.0090913795985607e-06,1.211268355457865e-08
1927,9.893389736654562e-07,1.2869110475678878e-08,9.893389736654562e-07,1.2869110475678878e-08
1928,9.55884461615954e-07,1.1787166734730396e-08,9.55884461615954e-07,1.1787166734730396e-08
1929,8.538586777311658e-07,1.1803857510476031e-08,8.538586777311658e-07,1.1803857510476031e-08
1930,8.195165962985942e-07,1.1534004037575381e-08,8.195165962985942e-07,1.1534004037575381e-08
1931,8.058185017034702e-07,1.1102668435419055e-08,8.058185017034702e-07,1.1102668435419055e-08
1932,7.863973304925562e-07,1.0042481513039547e-08,7.863973304925562e-07,1.0042481513039547e-08
1933,7.859803677742352e-07,7.992601374391078e-09,7.859803677742352e-07,7.992601374391078e-09
1934,7.921253524857872e-07,7.164822576502924e-09,7.921253524857872e-07,7.164822576502924e-09
1935,7.952257387192471e-07,7.049511323892992e-09,7.952257387192471e-07,7.049511323892992e-09
1936,7.871304319451156e-07,6.8929701311861075e-09,7.871304319451156e-07,6.8929701311861075e-09
1937,7.75881306123795e-07,6.4259945935824754e-09,7.75881306123795e-07,6.4259945935824754e-09
1938,7.70703219846577e-07,5.985085696888096e-09,7.70703219846577e-07,5.985085696888096e-09
1939,8.143031615353331e-07,7.44532086776368e-09,8.143031615353331e-07,7.44532086776368e-09
1940,8.749534734826219e-07,6.8133325648034315e-09,8.749534734826219e-07,6.8133325648034315e-09
1941,8.814922937615068e-07,6.738889065819162e-09,8.814922937615068e-07,6.738889065819162e-09
1942,9.321731226918928e-07,6.624830906076795e-09,9.321731226918928e-07,6.624830906076795e-09
1943,9.656891149591372e-07,6.965202954083744e-09,9.656891149591372e-07,6.965202954083744e-09
1944,1.0321536154021617e-06,6.672972777518485e-09,1.0321536154021617e-06,6.672972777518485e-09
1945,1.042864905035198e-06,7.566335875302294e-09,1.042864905035198e-06,7.566335875302294e-09
1946,1.0042706272932783e-06,6.269115512428211e-09,1.0042706272932783e-06,6.269115512428211e-09
1947,9.28924172122996e-07,6.477926005134447e-09,9.28924172122996e-07,6.477926005134447e-09
1948,9.167723078462586e-07,7.190661780295418e-09,9.167723078462586e-07,7.190661780295418e-09
