ngram,SSE,SE,SS,SE
1879,9.189475085642179e-08,2.1165425485898074e-06,3.3843446414851186e-06,2.1165425485898074e-06
1880,9.804802354145587e-08,1.7191588637745423e-06,3.326585069122042e-06,1.7191588637745423e-06
1881,1.0358500698462844e-07,1.4256900158216013e-06,3.011181271566394e-06,1.4256900158216013e-06
1882,1.0625155815497627e-07,1.4323113971061372e-06,2.9722127042727412e-06,1.4323113971061372e-06
1883,1.060838127183875e-07,1.3496473343366233e-06,2.9384984827629523e-06,1.3496473343366233e-06
1884,1.0775356023324483e-07,1.3551380512970873e-06,2.759977698068334e-06,1.3551380512970873e-06
1885,1.041007067215105e-07,1.366168354317259e-06,2.7106581390918497e-06,1.366168354317259e-06
1886,1.0043667840266477e-07,1.4468688099051569e-06,2.7087559634050455e-06,1.4468688099051569e-06
1887,9.677005254258932e-08,1.4447607798371922e-06,2.6774291654874105e-06,1.4447607798371922e-06
1888,9.343580233332562e-08,1.5416249376747665e-06,2.825266652247852e-06,1.5416249376747665e-06
1889,9.805009325093903e-08,1.6261228422211258e-06,2.892706074167758e-06,1.6261228422211258e-06
1890,1.2965425964596632e-07,1.8295461196820334e-06,2.9550894526307403e-06,1.8295461196820334e-06
1891,1.3594956982387885e-07,1.8396222328322307e-06,2.91461456721923e-06,1.8396222328322307e-06
1892,1.4309306603113976e-07,1.9042034052420474e-06,2.9956764982281518e-06,1.9042034052420474e-06
1893,1.4355522941806547e-07,1.9040707489434032e-06,3.0082280448238763e-06,1.9040707489434032e-06
1894,1.42479116505001e-07,1.9160234907238712e-06,3.05570327847298e-06,1.9160234907238712e-06
1895,1.3626387738798128e-07,1.8458096714571833e-06,3.0060946625911e-06,1.8458096714571833e-06
1896,1.2271829977602726e-07,1.7005694254683995e-06,3.026121605996325e-06,1.7005694254683995e-06
1897,9.677573180917015e-08,1.5784143637834599e-06,3.046349775104318e-06,1.5784143637834599e-06
1898,1.0747961251159463e-07,1.5925356657524908e-06,2.9917695363630107e-06,1.5925356657524908e-06
1899,9.839666757573338e-08,1.5601727097548843e-06,2.978600767684319e-06,1.5601727097548843e-06
1900,9.716951053308418e-08,1.6073323325014956e-06,2.9730289432856286e-06,1.6073323325014956e-06
1901,9.437195659854427e-08,1.615481128932775e-06,2.9414193899616033e-06,1.615481128932775e-06
1902,8.971439312079252e-08,1.591874381899418e-06,2.9674282099482037e-06,1.591874381899418e-06
1903,1.216963479829961e-07,1.7374582544757037e-06,3.014756170419527e-06,1.7374582544757037e-06
1904,1.2501707453387618e-07,1.8059973529359143e-06,3.0571008794920218e-06,1.8059973529359143e-06
1905,1.1119944330419327e-07,1.896351087842569e-06,3.1853408342742895e-06,1.896351087842569e-06
1906,1.1614421170845293e-07,2.001394818762492e-06,3.3142974059176467e-06,2.001394818762492e-06
1907,1.1604133324080326e-07,2.0665601791084294e-06,3.2974125718153246e-06,2.0665601791084294e-06
1908,1.1885639190316916e-07,2.528136519686086e-06,3.3790144178575635e-06,2.528136519686086e-06
1909,1.2367669707405833e-07,2.630981449718612e-06,3.451866535085303e-06,2.630981449718612e-06
1910,8.975251627621869e-08,2.6171780486298043e-06,3.465405890373014e-06,2.6171780486298043e-06
1911,8.75721580330589e-08,2.872723046363847e-06,3.516288968187707e-06,2.872723046363847e-06
1912,8.438764963005139e-08,3.2173538459444117e-06,3.464315438707542e-06,3.2173538459444117e-06
1913,9.916627062368986e-08,3.7177629305265976e-06,3.3678025569575506e-06,3.7177629305265976e-06
1914,9.820470938036254e-08,4.250847236367658e-06,3.418816309671716e-06,4.250847236367658e-06
1915,9.482979176514813e-08,4.298033640485041e-06,3.272206186011317e-06,4.298033640485041e-06
1916,9.030488407851018e-08,4.729454823453645e-06,3.1557417514704866e-06,4.729454823453645e-06
1917,1.0135761588766659e-07,5.120238094085445e-06,3.059464493812162e-06,5.120238094085445e-06
1918,1.0219856250159864e-07,5.397330889016823e-06,3.065864153281187e-06,5.397330889016823e-06
1919,1.0954160144040412e-07,5.351148696978011e-06,3.0295554357248226e-06,5.351148696978011e-06
1920,8.743137921588381e-08,4.95692799112086e-06,3.046324666554158e-06,4.95692799112086e-06
1921,9.196631976595069e-08,4.415607691043988e-06,3.1011800924066587e-06,4.415607691043988e-06
1922,9.632055610252013e-08,4.060638275404926e-06,3.2030803335406484e-06,4.060638275404926e-06
1923,9.744910706948368e-08,3.722910183309328e-06,3.196625389786537e-06,3.722910183309328e-06
1924,9.165767015214702e-08,3.4093135517261023e-06,3.237655229375897e-06,3.4093135517261023e-06
1925,9.031867165276708e-08,3.0187258874190903e-06,3.2245856605836058e-06,3.0187258874190903e-06
1926,8.724251289647458e-08,2.748785878533714e-06,3.2573696963871564e-06,2.748785878533714e-06
1927,9.590246971161573e-08,2.6799432037348325e-06,3.214445996491122e-06,2.6799432037348325e-06
1928,9.561889515095703e-08,3.016045054339754e-06,3.156890085977336e-06,3.016045054339754e-06
1929,9.389971467044234e-08,3.2108413441684595e-06,3.2068047793083158e-06,3.2108413441684595e-06
1930,1.0473323186488415e-07,3.597779790912422e-06,3.2956468852976935e-06,3.597779790912422e-06
1931,1.153027154389617e-07,3.643893543474925e-06,3.3538374931855027e-06,3.643893543474925e-06
1932,1.2312304115929302e-07,3.697298942435217e-06,3.3371624925036613e-06,3.697298942435217e-06
1933,1.2164199704654622e-07,4.2876018337015665e-06,3.3961128532869874e-06,4.2876018337015665e-06
1934,1.1928059555949793e-07,4.4236876419745386e-06,3.613357161417038e-06,4.4236876419745386e-06
1935,1.1470362234636663e-07,4.4557264118338935e-06,3.8689249127596014e-06,4.4557264118338935e-06
1936,1.1934554221072956e-07,4.406431279286542e-06,3.9212340457847205e-06,4.406431279286542e-06
1937,1.1526159531578222e-07,4.5745041461486835e-06,3.934774700350577e-06,4.5745041461486835e-06
1938,1.0932946078615455e-07,5.120904558810123e-06,4.083961552428913e-06,5.120904558810123e-06
1939,1.0095391392691713e-07,5.550613488074825e-06,4.35149049085989e-06,5.550613488074825e-06
1940,1.0659019673247322e-07,5.4764618653280195e-06,4.7825952346361845e-06,5.4764618653280195e-06
1941,1.0176046215194998e-07,5.912927528178054e-06,4.834624373220972e-06,5.912927528178054e-06
1942,1.1373736543061699e-07,6.182747646172564e-06,5.050795607530745e-06,6.182747646172564e-06
1943,1.192520581331077e-07,6.582463226680245e-06,6.398135220868946e-06,6.582463226680245e-06
